LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8069.0,,,,,,
AUT,,,,16960.0,16237.5,14292.0,17306.5,23545.0,33949.0,38175.0,40203.5,47342.0,49037.5,56528.0,59897.0,66510.5,67310.0,93825.5,102400.0,112100.0,122000.0,139150.0,128931.0,153243.0,148839.0,156858.5,164783.0,170974.0,179961.5,200348.0,5931.0,6078.0,6565.0,6826.0,7153.0,6880.0,558178.5,684871.0,686132.5,558202.0,662381.5,685891.5,646436.5,625025.5,655361.5,731096.5,774995.5,872563.5,912276.839,921690.0655,860460.7845
AZE,,,,,70941.0,74383.5,71228.0,68343.5,69757.0,69509.0,62529.5,62808.5,63487.0,65310.0,67883.0,71462.0,77602.0,82466.0,85480.0,83004.0,40127.0,35247.5,20702.5,8543.5,8683.5,8368.0,5205.0,5630.5,5759.5,5783.5,5702.5,5798.0,5801.5,6802.5,7724.0,8964.5,8403.5,6680.5,6941.0,7078.0,7043.0,8583.0,9844.0,8889.5,5121.0,6362.5,6468.0,10329.0,13133.0,19878.5,24457.5
BEL,61373.0,65919.0,82820.0,98260.5,114370.0,101654.5,113710.5,124461.0,143598.5,159147.0,166321.5,168077.0,150070.5,167389.0,183604.5,190754.0,199155.0,210940.5,217862.5,253352.0,295789.0,288397.5,250939.0,313966.0,315544.5,308534.5,321205.5,381017.5,403436.5,436500.0,404410.5,,,,457451.5,475344.0,417146.5,464604.0,440852.0,382126.5,,,,,,,,,,,
BGR,,,,23492.0,17875.0,17362.5,17630.0,25669.0,27204.0,24576.5,23438.5,24958.5,23961.0,25399.5,25726.0,22842.5,21698.0,21519.5,21081.5,20439.0,17664.0,24365.5,15486.5,22045.5,21784.5,11862.0,4749.5,18413.5,31014.0,27279.0,13470.5,7022.0,9153.5,22024.0,14977.0,17435.5,36736.0,38355.5,51795.5,55753.0,29103.0,26088.0,26968.0,32183.0,17887.5,19161.5,23588.5,18054.0,18380.0,19816.0,52995.5
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762.0,2418.0,2264.0,2250.0,168173.5,264403.0,320682.15,369542.0,505494.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101952.5,1232682.0,1282012.5,1430027.5,1510885.0,1390791.0,1464249.5,1545441.0,1596090.0,1617000.0,1488701.5,1631371.0,1671460.5,1794339.5,1858237.0,1965037.0,2052062.8035,2102047.5925,2285327.5975,2345361.9935,2110777.602,1882776.759
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15338.0,12440.0,15951.0,16555.0,15880.0,18960.0,19824.0,20352.0,20100.0,19934.0,21000.0,21002.0,16963.0
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.904,561.308,533.116,317.469288,455.455403,491.945293,38370.06211199822
CZE,,,,,,,,,,,,,,,,,,,,,,,,39971.0,33148.5,27535.0,34727.0,37951.0,44822.0,48452.5,85952.0,106519.0,128145.0,150581.5,260948.0,300793.0,339962.5,437884.0,502987.5,441938.0,529937.5,560278.0,583613.5,642688.5,674388.0,745163.5105,781374.2655,752857.2585,909629.3065,903865.2465,835898.9585
DEU,365243.0,464536.0,558902.0,337746.5,332083.5,288589.0,352524.0,375382.0,419624.5,480332.5,513967.5,535569.5,499550.0,498419.0,554057.5,603436.5,625171.0,670238.5,735481.0,816930.5,847038.0,903824.5,865441.0,824588.5,951090.0,1436300.0,1435660.5,33918.0,34190.0,33102.0,34320.0,34664.0,33429.0,36313.0,1974966.0,2129197.0,2442559.0,2831777.5,3044660.5,2566856.0,2837538.5,2992669.0,3147357.0,3263577.0,3169444.0,3021696.5,3131936.0,3019898.0,3370084.5,3601127.0,3576310.5
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98712.5,89971.0,127367.0,110183.0,106531.5,81758.0,100087.0,100451.5,79462.5,84266.5,69230.5,64851.5,78982.0,,,,
ESP,,,,,,595.0,,,,,1483.0,,,,,3023.0,3268.0,3734.0,4049.0,4074.0,3865.0,3783.0,3687.0,3393.0,3882.0,5334.0,6017.0,6950.0,7132.0,7319.0,7598.0,7538.0,7535.0,7825.0,7736.0,6940.0,6759.0,5826.0,5654.0,4532.0,4918.0,5570.0,5620.0,5444.0,6132.0,5771.0,5441.0,5793.0,5668.0,6510.0,
EST,,,,,,,,,,,,,,,,,,,,,,,,4604.5,4863.5,3352.5,2471.5,4532.5,2512.5,2195.0,1632.0,3378.5,2389.5,2994.5,4260.0,5578.5,8152.0,8240.0,10698.5,8761.0,11351.0,17606.0,24562.5,31139.0,36156.0,21597.0,27089.5,20156.0,26367.5,38695.495,22656.5
