LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,,,,,,,,,,,,,,,,,,,344.0,400.0,40.0,,,186.5,339.5,218.5,242.0,154.0,249.0,459.5,179.5,44.0,519.0,1925.5,4195.5,7716.5,11047.0,16742.0,23690.0,34709.5,36291.0,40901.5,44540.0,55282.0,50325.0,52737.5,60203.5,59875.0,68014.0,73744.5,70013.1
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554012.0,1575634.0,1515282.0,1636756.0,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,1016959.5,1086302.5,1165072.0,1265426.5,1363753.5,1533129.0,1708545.5,1714107.0,1925129.5,2105735.0,2375503.5,2463340.0,2615854.0,2922915.5,3130843.0,2911465.5,3285634.5,3387719.5,3501956.0,3531203.5,3795146.0,3743534.0,3801158.0,4062999.0,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,203.5,157.5,473.0,428.5,620.5,1528.5,1898.5,6701.5,4890.5,2250.0,3129.0,5403.5,6829.0,8708.5,7764.5,11587.0,17729.5,20428.5
BEL,183821.5,159910.5,194026.0,244375.0,293251.5,266688.0,285248.5,348041.0,386014.5,440966.5,461686.5,521542.0,520250.5,625253.5,734733.0,742070.0,773961.5,835423.5,867811.0,895562.0,956858.5,1048838.5,1198356.5,1201603.0,1429458.5,1447817.5,1621761.5,1834611.0,2048807.5,2534267.0,2888940.0,2873116.5,3186792.5,3417212.5,3656374.0,3973903.0,4253247.0,4968403.0,5290295.0,4291337.0,4853915.0,4808332.0,4633633.5,4644349.0,4911564.0,4937027.0,5093370.5,5217107.5,5664424.0,5822362.5,6362158.0
BGR,,,,7211.5,16432.0,35841.0,34595.0,42612.5,32583.0,28160.0,12365.5,8767.0,11733.0,10799.0,12127.0,13261.0,14292.5,14726.0,17878.0,31448.0,28543.0,20098.0,33128.0,47597.0,79867.0,94830.0,83071.0,93094.0,95405.0,102332.0,108741.0,29390.5,35800.0,43663.0,54003.0,55881.5,60979.5,66494.5,101370.0,84842.0,86174.0,90442.5,107127.5,110473.0,119524.5,122558.5,123871.5,138671.0,147750.0,157938.5,154760.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,774707.0,866034.5,939140.5,988940.5,1105900.5,1380051.5,1348850.0,1540784.5,1701849.0,1861885.5,1923300.5,2012191.5,2136372.0,2242846.5,2045540.5,2354450.0,2384375.0,2572894.5,5225900.0,5429700.0,5792200.0,5684800.0,6322300.0,6718400.0,6970500.0,6802500.0
CHL,,,,,,,,,,,,,,,,,,,,,,164827.5,193762.5,252100.0,280447.0,368961.5,414370.0,487472.5,543536.5,499353.5,617225.0,612975.0,619897.5,740547.0,863766.5,1062364.0,1244554.5,1459700.0,1564616.5,1388943.0,1569014.0,1748680.5,1777129.5,1924687.5,1993331.5,1983527.5,2090712.504,2212841.6415,2471292.0,2326750.5,2117727.6345
DEU,140728.0,186698.5,262590.5,354901.5,391514.5,397253.5,457860.0,504311.0,604353.0,695631.0,778311.0,898492.5,878597.0,917257.0,1083067.5,1143387.5,1188825.0,1330822.0,1480109.0,1613772.5,1720170.5,1865182.5,1931462.5,2083585.0,2284820.5,2365931.0,2474735.0,2650284.5,2770722.5,3130985.0,3616854.5,3989326.0,4385776.0,4823875.5,5456060.0,6099341.5,6955453.0,7686949.5,7894416.0,6006641.5,6601601.0,7698564.0,7726434.5,7840751.0,8019046.5,7653488.5,7666164.0,7626862.5,7632391.0,7593356.826,7067134.8275
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,191236.5,216363.5,241543.5,245152.0,246166.0,251206.0,262876.0,270983.0,309235.0,344482.5,397876.5,376263.5,320824.0,369619.0,393672.5,384133.5,376177.5,374321.0,377755.5,384823.0,,,,
ESP,,137483.0,187580.0,329535.0,448433.0,535856.0,642855.0,809855.0,856126.0,978122.0,542740.5,598358.5,626293.0,721891.0,849000.5,938388.5,931912.5,1095317.0,1121336.0,1153415.5,1228030.0,1364220.0,1428393.5,1432432.5,1691900.5,1987230.0,2207738.5,2495257.5,2946149.0,3232244.5,3496312.5,3759962.0,4118765.5,4538965.0,5036361.5,5573998.5,6047797.0,6663322.5,6729860.0,5923526.5,6322119.5,7003951.5,7080738.0,6932230.0,7111109.5,7205828.0,7649386.5,8053141.5,8694808.5,8815569.0,16666347.0
EST,,,,,,,,,,,,,,,,,,,,,,,,278.0,17332.5,19903.5,23037.0,27569.0,28026.0,33082.0,38723.5,39433.5,44971.5,50976.0,71084.0,64876.5,77163.5,91849.0,91716.0,66232.5,76678.5,99860.0,114837.0,127838.5,131523.0,105431.0,103079.0,116204.5,121498.0,122012.5,108859.5
