LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,,72000.0,83200.0,89500.0,96100.0,101200.0,104600.0,102300.0,105100.0,104700.0,105100.0,110300.0,97800.0,80900.0,94300.0,96300.0,101800.0,95200.0,93600.0,90700.0,94200.0,93800.0,96400.0,96000.0,98800.0,109200.0,106080.0,112610.0,116940.0,108750.0,108890.0,104510.0,110528.0,114905.0,117114.0,114072.0,122188.0,127589.0,121916.0,109622.0,116208.0,113357.0,102577.0,104462.0,105404.0,105244.11,110379.91,107829.77,,,
AZE,13138.0,13386.0,13138.0,12604.0,12995.0,12880.0,12491.0,11862.0,12593.0,11924.0,11355.0,12183.0,12119.0,12144.0,11542.0,11377.0,11690.0,11793.0,10797.0,10001.0,9870.0,9149.0,5512.0,4358.0,4733.0,4325.0,3911.0,5008.0,4447.0,4744.0,4890.0,5744.0,6077.0,6555.0,6771.0,7521.0,8043.0,5989.0,6076.0,6173.0,4859.0,5186.0,5062.0,4632.0,4124.0,2937.0,3002.0,4418.0,4576.0,3351.0,3299.0
BEL,2702.0,2436.0,2292.0,1966.0,2121.0,1421.0,1739.0,1706.0,1609.0,1662.0,1570.0,1364.0,1656.0,1588.0,1720.0,1678.0,1641.0,1671.0,1748.0,1610.0,1699.0,1542.0,1448.0,1308.0,1444.0,1413.0,1466.0,1621.0,1671.0,1630.0,,,,,,,,,,,,,,,,,,,,,
BGR,24.0,11.0,9.0,11.0,13.0,19.0,11.0,14.0,1.0,17.0,12.0,32.0,36.0,45.0,65.0,123.0,143.0,104.0,112.0,107.0,87.0,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,10369.0,10166.0,10735.0,13420.0,14144.0,13891.0,15055.0,21451.0,25517.0,25329.0,24450.0,24881.0,29388.0,27852.0,26678.0,29547.0,31735.0,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.0,13658.0,12442.0,9009.8772842607
CHN,,,,,,,,,248700.0,,353200.0,,,,,532900.0,,,,,814100.0,899000.0,903400.0,913400.0,1026800.0,1193800.0,1125400.0,1487500.0,1492000.0,1701400.0,1707300.0,2087300.0,2173300.0,2230500.0,3225500.0,3855200.0,4257700.0,4868600.0,3285100.0,3952400.0,4599900.0,4935500.0,5341200.0,4870500.0,5593500.0,5423600.0,5807500.0,5508400.0,5192700.0,5404700.0,
DEU,899.0,937.0,933.0,997.0,1047.0,956.0,1310.0,1343.0,1269.0,1356.0,1400.0,1418.0,1467.0,1135.0,1036.0,692.0,668.0,454.0,562.0,488.0,511.0,503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,24468.0,25760.0,26788.0,27948.0,30979.0,28066.0,28879.0,29042.0,29710.0,29594.0,31125.0,28627.0,27969.0,29784.0,27795.0,31288.0,29388.0,31136.0,34439.0,35191.0,33048.0,34750.0,32711.0,28903.0,32451.0,37984.0,35072.0,36530.0,32306.0,33723.0,37765.0,41067.0,40654.0,42698.0,48117.0,48178.0,47383.0,49446.0,45396.0,40040.0,41666.0,42811.0,41761.0,40773.0,41848.0,44536.0,47488.0,49698.0,50293.0,55716.0,
EST,75.0,72.0,50.0,51.0,51.0,54.0,50.0,56.0,65.0,82.0,71.0,83.0,96.0,107.0,88.0,85.0,64.0,40.0,32.0,28.0,18.0,15.0,13.0,11.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,14.0,8.0
