LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,936.0,1025.0,1200.0,1134.0,1160.0,1364.0,1230.0,1260.0,1503.0,1649.0,1779.0,1744.0,1896.0,1917.0,1896.0,1826.0,1825.0,1897.0,1894.0,1978.0,1779.0,909.0,604.0,1464.0,1993.0,2140.0,2297.0,1369.0,1861.0,2044.0,2199.0,2256.0,2380.0,2569.0,2838.0,3243.0,3348.0,3643.0,4154.0,4497.0,4694.0,3855.0,3248.0,3520.0,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.0,1667.0,1940.0,2152.0,2466.0,2697.0,3439.0,3697.0,2588.0,3082.0,3573.0,4144.0,4085.0,4167.0,3743.0,3883.0,4256.0,,,
AUS,60814.0,66234.0,69638.0,77102.898404295,87557.496367013,90431.093334001,89530.038586589,94556.013638752,97869.425933806,103579.53305991,110877.10575811,117157.00883342,120446.24845634,114948.0670993,127737.27099043,140518.57537582,149038.2621683,154032.04234339,162615.48735046,164869.95794084,175808.9895318,176458.02635201,184539.53359499,190820.31448594,198340.21223753,207577.34553421,217658.1837717,233042.77663947,244931.62034217,252978.79314807,266185.98730241,272397.64119073,293036.23588439,309485.76729518,324872.828899,346332.41802393,358149.36921058,376066.11643022,401783.58132798,419029.58205972,443983.79383493,452653.7970857,487081.23661146,519593.78735181,573165.49020798,609900.571522,627430.37458825,,,,
AUT,17645.0,19436.0,20693.0,22548.0,23075.0,21233.0,23803.0,24072.0,24593.0,27489.0,27543.0,26112.0,25483.0,25587.0,25220.0,26243.0,25316.0,25595.0,26475.0,28094.0,29730.0,30119.0,29468.0,29433.0,32339.0,37406.0,38541.0,39976.0,41276.0,41729.0,43762.0,45079.0,45766.0,45049.0,45690.0,44493.0,49901.0,49842.0,49955.0,43350.0,45747.0,46693.0,44979.0,45833.0,47787.0,48256.0,49887.0,51074.0,50655.241,50923.0,48551.835966
AZE,29265.0,30592.0,31324.0,33499.0,35886.0,38915.0,39575.0,40672.0,42145.0,42844.0,42307.0,45020.0,45331.0,49005.0,48625.0,50162.0,52225.0,54123.0,55491.0,53406.0,48633.0,41100.0,20854.0,11952.0,9510.1,7595.0,7526.4,8903.3,10328.7,14983.0,16003.7,12894.0,14409.0,22388.6,23280.9,26558.0,43348.9,78185.4,88850.6,97981.2,97776.4,91657.6,90189.5,90899.4,93523.8,92659.0,90604.2,91796.1,92921.7,89385.7,74273.0
BEL,27907.0,28906.0,30976.0,32348.0,34484.0,29937.0,30001.0,29654.0,31580.0,33609.0,33965.0,33403.0,32640.0,32529.0,35762.0,36233.0,37271.0,38453.0,42886.0,44776.0,46875.0,48648.0,50883.0,53672.0,61163.0,61528.0,57244.0,60802.0,57507.0,62302.0,67634.0,69514.0,70470.0,67655.0,65561.0,62124.0,62149.0,60733.0,57021.0,50657.0,50925.0,50506.0,,,,,,,,,
BGR,22689.0,24487.0,26028.0,27724.0,29261.0,30361.0,31295.0,32360.0,33532.0,34022.0,34117.0,34840.0,35148.0,35187.0,35442.0,34699.0,35696.0,34988.0,35509.0,35039.0,30143.0,18120.0,15647.0,22455.0,27029.0,28300.0,24054.0,22501.0,22459.0,18487.0,12718.0,13654.0,14288.0,15838.0,18772.0,21418.0,20947.0,21996.0,22370.0,23116.0,24746.0,26406.0,29265.0,32312.0,32915.0,37742.0,40801.0,41024.0,32405.0,26238.0,38553.0
BIH,4236.0,4643.0,4611.0,4746.0,5429.0,5716.0,5652.0,6307.0,7549.0,8479.0,8819.0,9444.0,8573.0,8771.0,9224.0,9325.0,9721.0,9019.0,8817.0,8683.0,7075.0,4629.0,859.0,30.0,46.0,71.0,144.0,337.0,,,,,,,,,,2736.0,3115.0,2703.0,,2736.0,3460.0,3982.0,4438.0,4691.0,5157.0,5410.1,5491.0,5650.0,4858.0
BLR,59445.0,64015.0,67072.0,68448.0,73487.0,77489.0,79314.0,82065.0,85016.0,83545.0,84986.0,86860.0,86801.0,88797.0,91068.0,93222.0,97946.0,100949.0,104699.0,105060.0,99593.0,89426.0,75001.0,58192.0,40546.0,35182.0,73702.0,76966.0,80324.0,83126.0,89136.0,91382.0,97926.0,109476.0,118689.0,127261.0,128402.0,130802.0,130739.0,121122.0,128100.0,134243.0,131650.0,130725.0,131337.0,125881.0,125712.0,133265.0,138764.0,130793.0,123082.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696522.0,706936.0,715319.0,720161.0,705426.0,647576.0,702635.0,748349.0,801092.0,839653.0,875037.0,903981.0,,,,,
