LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,160.0,188.0,242.0,250.0,309.0,307.0,328.0,340.0,372.0,434.0,477.0,517.0,590.0,619.0,636.0,605.0,622.0,629.0,625.0,674.0,584.0,278.0,60.0,54.0,53.0,53.0,42.0,23.0,25.0,26.0,28.0,19.0,21.0,32.0,32.0,26.0,36.0,53.0,52.0,46.0,66.0,50.0,25.0,23.0,39.887,23.124,8.8,25.3,20.4,43.0,26.039
ARG,,,,,,,,,,,,,,,,,,,,,,,,,6663.0,7613.0,8506.0,9835.0,9824.0,9102.0,8696.0,8987.0,9445.0,10989.0,11603.0,12262.0,12628.0,12871.0,12025.0,10649.0,12112.0,12198.0,10583.0,9746.0,8893.0,8274.0,8529.0,8377.0,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,419.0,323.0,354.0,344.0,452.0,529.0,678.0,654.0,668.0,771.0,705.0,718.0,743.0,816.0,867.0,851.0,786.0,640.0,658.0,690.0,,,
AUS,36006.0,39704.0,42661.0,46711.0,54075.0,58986.0,55649.0,57723.0,59842.0,59826.0,63696.0,65717.0,65371.0,59839.0,65441.0,72603.0,77334.0,80357.0,81891.0,80584.0,87915.0,91123.0,99312.0,100788.0,104217.0,106195.0,110255.0,119619.0,125587.0,127963.0,133568.0,137534.0,150513.0,160580.0,168700.0,183944.0,189425.0,198961.0,218684.0,237163.0,258624.0,261420.0,290570.0,319000.0,367700.0,401600.0,413490.0,,,,
AUT,9868.0,9763.0,9869.0,10348.0,11085.0,9378.0,10548.0,9888.0,9498.0,10698.0,11002.0,10318.0,10103.0,10230.0,11247.0,11903.0,11273.0,11114.0,11213.0,11849.0,12682.0,12864.0,12207.0,11798.0,13050.0,13715.0,13909.0,14199.0,14714.0,15039.0,16602.0,16895.0,17132.0,16869.0,17931.0,17064.0,20980.0,21371.0,21915.0,17767.0,19833.0,20345.0,19499.0,19564.0,20746.0,20814.0,21361.0,22256.0,21996.241,21736.0,20498.028
AZE,24593.0,25531.0,25971.0,27710.0,29359.0,31658.0,32062.0,32768.0,34083.0,34293.0,33193.0,35886.0,35510.0,38835.0,38060.0,39367.0,40867.0,41362.0,43290.0,41833.0,37076.0,30479.0,13882.0,7301.0,3302.0,2409.0,2777.0,3515.0,4702.0,5052.0,5677.0,6141.0,6980.0,7719.0,7536.0,9628.0,11059.0,10375.0,10021.0,7592.0,8250.0,7845.0,8212.0,7958.0,7371.0,6210.0,5192.0,4633.0,4492.0,5152.0,4861.0
BEL,7816.0,7328.0,7490.0,8183.0,9146.0,6757.0,6648.0,6485.0,7119.0,8535.0,7999.0,7528.0,6788.0,6870.0,7905.0,8254.0,7423.0,7266.0,7694.0,8049.0,8354.0,8187.0,8346.0,7581.0,8081.0,7287.0,7244.0,7465.0,7600.0,7392.0,7674.0,7080.0,7276.0,7293.0,7691.0,8042.0,8587.0,8148.0,8469.0,5947.0,6264.0,6698.0,,,,,,,,,
BGR,13858.0,14918.0,15825.0,16640.0,17309.0,17285.0,17055.0,17080.0,17148.0,17653.0,17681.0,18052.0,18276.0,18060.0,18134.0,18172.0,18327.0,17842.0,17585.0,17034.0,14132.0,8685.0,7758.0,7702.0,7774.0,8595.0,7549.0,7444.0,6152.0,5297.0,5538.0,4904.0,4627.0,5274.0,5211.0,5163.0,5396.0,5241.0,4693.0,3145.0,3064.0,3291.0,2908.0,3246.0,3439.0,3650.0,3434.0,3931.0,3792.0,3901.6,4503.0
BIH,3413.0,3769.0,3523.0,3543.0,3980.0,4008.0,3789.0,4069.0,4263.0,4780.0,4389.0,4372.0,4479.0,4696.0,4889.0,5037.0,5235.0,4816.0,4891.0,4728.0,4009.0,2424.0,23.0,22.0,23.0,16.0,18.0,47.0,73.0,115.0,140.0,280.0,308.0,318.0,363.0,379.0,372.0,1088.0,1242.0,992.0,877.0,1018.0,1150.0,1243.0,1313.0,1286.0,1142.0,1130.1,1187.9,1275.0,1040.0
BLR,50088.0,53779.0,55875.0,55926.0,59631.0,62424.0,63439.0,65006.0,67029.0,65702.0,66264.0,67562.0,67126.0,69205.0,71603.0,73243.0,77943.0,79862.0,82230.0,81734.0,75427.0,65551.0,56441.0,42919.0,27963.0,25510.0,26018.0,30636.0,30370.0,30529.0,31425.0,29727.0,34169.0,38402.0,40331.0,43559.0,45723.0,47933.0,48994.0,42742.0,46224.0,49406.0,48351.0,43818.0,44997.0,40785.0,41107.0,48538.0,52574.0,48205.0,42420.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,245625.0,269458.0,256145.0,265707.0,283842.0,291518.0,288701.0,300424.0,327812.0,337953.0,341514.0,347922.0,334824.0,294786.0,332635.0,347824.0,368297.0,386266.0,414069.0,412985.0,396806.0,420143.0,445546.0,446081.0,431717.0
CHE,6983.0,7038.0,7139.0,7570.0,7412.0,5478.0,6008.0,6286.0,6553.0,7352.0,7799.0,7519.0,6873.0,6759.0,7276.0,7434.0,7337.0,7183.0,7937.0,8627.0,9045.0,8917.0,8458.0,8051.0,8819.0,8856.0,8031.0,8836.0,9411.0,9831.0,11080.0,11172.0,10746.0,10598.0,11489.0,11677.0,12466.0,11952.0,12265.0,10565.0,11074.0,11526.0,11061.0,11812.0,12313.0,12431.0,12447.0,11665.0,11776.0,11673.0,11067.0
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833.633027,4118.699224,4089.738747,3981.463012,4103.932874,4085.724617,4076.755917,3760.2204401392,3816.070253512,3079.8397523271,3585.4572606123
CHN,,,,,,,,,534520.0,,571750.0,,,,,812570.0,,,,,1062238.0,1097200.0,1157555.0,1209090.0,1263200.0,1304950.0,1310620.0,1326990.0,1256010.0,1291030.0,1377050.0,1469410.0,1565840.0,1724670.0,1928880.0,2072600.0,2195441.0,2379700.0,2510628.0,2523917.0,2764413.0,2946579.0,2918709.0,2917390.0,2753020.0,2375430.0,2379230.0,2696220.0,2882100.0,3018200.0,
CZE,,,,,,,,,,,,,,,,,,,,,,,,25574.0,24400.0,25459.0,24286.0,21010.0,18757.0,16713.0,17496.0,16882.0,15810.0,15862.0,15092.0,14866.0,15779.0,16304.0,15437.0,12791.0,13770.0,14316.0,14266.0,13965.0,14574.0,15261.102013,15618.690243,15842.778,16564.19,16179.68,15250.611
DEU,70497.0,64293.0,63874.0,66391.0,68308.0,54341.0,58424.0,54921.0,56499.0,65258.0,63804.0,61074.0,56551.0,55101.0,58930.0,62961.0,59630.0,58100.0,58900.0,61100.0,62515.0,82200.0,72800.0,65600.0,70700.0,70500.0,70000.0,73900.0,74200.0,71900.0,77500.0,76165.0,76283.0,79841.0,86409.0,95421.0,107008.0,114615.0,115652.0,95834.0,107317.0,113317.0,110065.0,112613.0,112629.0,116632.0,128866.0,131204.0,129991.0,129161.0,108406.0
DNK,1853.0,1886.0,2013.0,2132.0,1987.0,1844.0,1927.0,1869.0,1780.0,1701.0,1620.0,1551.0,1612.0,1621.0,1658.0,1756.0,1800.0,1644.0,1671.0,1723.0,1787.0,1858.0,1870.0,1751.0,2008.0,1985.0,1757.0,1983.0,2058.0,1938.0,2025.0,1961.0,1906.0,1985.0,2147.0,1967.0,1885.0,1776.0,1863.0,1696.0,2240.0,2614.0,2278.0,2448.0,2453.0,2603.0,2575.0,2653.0,2592.0,,
ESP,10339.0,10112.0,10753.0,12002.0,12009.0,11079.0,11159.0,11826.0,11077.0,10912.0,11282.0,11022.0,10928.0,11019.0,12077.0,12075.0,11729.0,11892.0,12145.0,12048.0,11613.0,10808.0,9582.0,8132.0,9047.0,10419.0,10156.0,11486.0,11800.0,12035.0,12171.0,12322.0,12247.0,12411.0,12018.0,11641.0,11599.0,11212.0,10662.0,7714.0,8577.0,9593.0,9390.0,9366.0,10303.0,10812.0,10644.0,10507.0,10792.0,10459.0,
EST,5049.0,5076.0,5334.0,5516.0,5719.0,5942.0,5942.0,6065.0,5852.0,5769.0,5919.0,6192.0,6274.0,6410.0,6515.0,6446.0,6736.0,7134.0,7989.0,7609.0,6977.0,6545.0,3646.0,4152.0,3612.0,3846.0,4198.0,5102.0,6079.0,7295.0,8102.0,8557.0,9697.0,9670.0,10488.0,10639.0,10418.0,8430.0,5943.0,5934.0,6638.0,6271.0,5129.0,4722.0,3256.0,3114.0,2339.0,2325.0,2594.0,2155.0,1729.0
FIN,6270.0,5756.0,6506.0,7011.0,7487.0,6438.0,6547.0,6399.0,6328.0,7368.0,8335.0,8391.0,8000.0,8091.0,7981.0,8067.0,6952.0,7403.0,7816.0,7958.0,8357.0,7634.0,7848.0,9259.0,9949.0,9293.0,8806.0,9856.0,9885.0,9753.0,10107.0,9857.0,9664.0,10047.0,10105.0,9706.0,11060.0,10434.0,10777.0,8872.0,9750.0,9395.0,9275.0,9470.0,9596.0,8468.0,9455.0,10362.0,11175.0,10270.0,10138.0
