LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,776.0,837.0,958.0,884.0,851.0,1057.0,902.0,920.0,1131.0,1215.0,1302.0,1227.0,1306.0,1298.0,1260.0,1221.0,1203.0,1268.0,1269.0,1304.0,1195.0,631.0,544.0,1410.0,1940.0,2077.0,2248.0,1340.0,1830.0,2011.0,2164.0,2231.0,2352.0,2530.0,2798.0,3210.0,3306.0,3584.0,4098.0,4445.0,4626.0,3805.0,3223.0,3497.0,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,205.0,280.0,210.0,231.0,432.0,710.0,1034.0,182.0,236.0,287.0,401.0,484.0,544.0,479.0,676.0,725.0,,,
AUS,24808.0,26530.0,26977.0,30391.898404295,33482.496367013,34639.63109173,37417.069348727,42280.276987106,43022.430944004,47642.92774081,51603.792959022,58115.430934599,63186.290615772,60955.489913242,65793.907557193,70888.468661318,75749.030108977,76233.776958745,81967.942407818,89198.667941911,93438.219018693,89382.555090445,89107.403303688,92935.455291299,95937.290551047,103624.40978427,108376.1883243,112713.58262185,118878.00796988,125843.81520744,131638.94369203,133173.2753314,139142.51983372,146508.69995977,155094.31411296,160123.95377196,164194.685136,171860.5919496,180106.67735693,180754.90115588,186081.65153941,192453.589541,199992.59777756,202152.21394323,204532.44421558,207347.92052656,202874.0275468,209839.86417566,216247.20344118,218903.20857613,224152.10290141
AUT,2864.0,3103.0,3513.0,4170.0,4522.0,4647.0,5400.0,6238.0,6632.0,7397.0,7931.0,8398.0,8883.0,9407.0,7899.0,7790.0,7809.0,7947.0,9092.0,9054.0,9015.0,9126.0,9099.0,9460.0,10479.0,14879.0,15458.0,15670.0,16118.0,16828.0,17153.0,17556.0,17827.0,18141.0,17379.0,16889.0,18846.0,18648.0,18160.0,16276.0,16539.0,16997.0,16143.0,15524.0,16605.0,17161.0,18091.0,18400.0,18593.0,18905.0,18733.0
AZE,3709.0,3963.0,4018.0,4517.0,5035.0,5581.0,5957.0,6293.0,6568.0,7097.0,7465.0,8031.0,8736.0,8958.0,9203.0,9518.0,9568.0,11059.0,11096.0,10165.0,8204.0,7218.0,5181.0,3348.0,2544.0,1849.0,1493.0,1501.0,1756.0,3258.0,3774.0,5110.0,5827.0,6543.0,7278.0,7870.0,8568.0,9492.0,10317.0,11021.0,11728.0,12776.0,13744.0,14575.0,14989.0,16038.0,16486.0,16864.0,17402.0,18115.0,9048.0
BEL,13087.0,14328.0,15173.0,15961.0,17011.0,16521.0,15756.0,15650.0,16799.0,17382.0,18311.0,18765.0,19713.0,19821.0,21906.0,22106.0,23717.0,25152.0,28808.0,30394.0,32049.0,34106.0,36286.0,39820.0,46135.0,47136.0,42757.0,45879.0,42224.0,46878.0,51023.0,53158.0,53538.0,50542.0,47878.0,43846.0,43017.0,42085.0,38356.0,36174.0,35001.0,33107.0,32105.0,32795.0,31808.0,36077.00773106,35578.66439617,34218.71437365,32684.47938502,34829.0,
BGR,6999.0,7486.0,8131.0,9101.0,9601.0,10684.0,11849.0,12830.0,13404.0,13235.0,13072.0,13292.0,13257.0,13705.0,13726.0,13474.0,14063.0,14177.0,14725.0,15149.0,13770.0,7957.0,6793.0,13989.0,18531.0,18562.0,15510.0,14108.0,15304.0,12540.0,6404.0,8046.0,8804.0,9498.0,11961.0,14371.0,13765.0,14624.0,15321.0,17741.0,19454.0,21212.0,24387.0,27237.0,27922.0,32350.0,35402.0,35185.0,27003.0,20613.0,32566.0
BIH,823.0,874.0,1088.0,1203.0,1449.0,1708.0,1863.0,2238.0,3286.0,3699.0,4430.0,5072.0,4094.0,4075.0,4335.0,4288.0,4486.0,4203.0,3926.0,3955.0,3066.0,2205.0,836.0,8.0,23.0,55.0,126.0,290.0,,,,,,,,,,1648.0,1873.0,1711.0,,1718.0,2310.0,2739.0,3125.0,3405.0,4015.0,4280.0,4303.1,4375.0,3818.0
BLR,8133.0,8976.0,9937.0,11142.0,12383.0,13642.0,14457.0,15396.0,16233.0,16336.0,16806.0,17337.0,17610.0,17590.0,17496.0,17737.0,18652.0,19273.0,20497.0,21242.0,22361.0,22128.0,17569.0,14839.0,12488.0,9539.0,3269.0,3561.0,3420.0,3668.0,5026.0,5350.0,6658.0,8181.0,8867.0,9351.0,8939.0,11941.0,13742.0,13512.0,16023.0,19436.0,22031.0,25603.0,26587.0,24523.0,25239.0,26987.0,28082.0,28516.0,28778.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224910.0,233583.0,225105.0,224839.0,223802.0,208531.0,221766.0,224325.0,241495.0,251387.0,268568.0,277396.0,294716.0,299160.0,269094.0,,
