LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,5308724.1793534,15439396.807332,9206966.9213611,1054733.1661184,1364993.129786,2257376.7569591,,5563393.5973703,6375243.3792236,6554472.9849424,1373059.4364119,1778237.6048756,122187.05045348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,92000000.0,86000000.0,79000000.0,62000000.0,96000000.0,82000000.0,81000000.0,102000000.0,158000000.0,240000000.0,362000000.0,217000000.0,187000000.0,306000000.0,221000000.0,174000000.0,,,,,,,,,
AZE,,,,39215686.27451,43275253.387997,10891927.871233,3597122.3021583,1088139.2818281,28810659.944179,9821574.7258144,100178283.38569,96308186.195827,70590236.434768,82719827.942758,28576531.523486,200957836.41656,163785259.32666,278217821.78218,270633397.31286,78672167.322268,349810555.99612,5667327.8549164,206971116.71729,19416509.011252,17863710.39773
BEL,88000000.0,38000000.0,35000000.0,37000000.0,125000000.0,127000000.0,127000000.0,73000000.0,69000000.0,47000000.0,68000000.0,88000000.0,135000000.0,116000000.0,116000000.0,30000000.0,34000000.0,74000000.0,93000000.0,107000000.0,127000000.0,109310000.0,116282000.0,,
BGR,,,,,5112997.2389815,5634668.579039,1026588.6459296,3591216.9095013,16418676.244228,37886545.156666,57265569.076593,15850291.440843,34257081.501176,13805092.54525,5112997.2389815,8180795.5823704,39370078.740157,27098885.366602,48062174.046426,7158196.1345741,4601697.5150833,27098885.366602,10737294.201861,6135596.6867778,5112997.2389815
BLR,,,,,,,,,,,4475941.8127564,5569996.2866691,26852481.305235,10187838.268067,9766126.9596505,16455696.202532,18152773.743828,2239432.6770551,1779811.8484617,52410437.859354,5152304.3822897,105640839.31329,18775472.821358,82889923.511806,5123169.5342185
CAN,,,,,,776691948.65811,1243239345.208,1153223630.9684,1008849557.5221,776747062.46135,785586540.37226,828535318.0733,740690312.47873,810620150.06734,731138026.74741,607391145.26162,701512067.46147,952677459.52677,1154633148.2023,1032108528.1887,1053188487.5847,979950900.16367,787353182.19066,840413017.90616,1177895941.3071
CHE,130702038.17535,148577987.50159,124673113.17886,131311263.17736,193076730.8173,410862168.58188,500529661.01695,421892039.25845,249884921.41777,158668480.02072,103985015.82381,,,,168885356.64614,210533931.41369,327390599.67585,264664398.90484,294093752.53879,293923925.5722,213563132.25927,351311685.92919,327635840.2303,442722313.62023,547766693.62811
CHL,,,,31159530.408042,90690956.910468,90975015.364016,53970523.083041,2704949.4589489,7656757.1698573,14652135.695389,9377076.6853054,8421409.4671816,11813786.682739,14786274.938789,27053209.626302,46367877.354866,52635735.516341,67029250.597163,96004199.655788,107066118.96352,108201982.42,150405213.71132,251604905.7537,246356211.06476,183936610.65197
CHN,1096401640.9569,,1446539816.0883,1846466080.7842,2347923778.4736,2739444846.9142,2699345716.588,,,2648903068.2349,2969337466.5778,4609259125.2939,5834255858.2372,5812514180.6151,6373601803.6166,9953464625.3867,9302430151.3598,13853498513.707,15977196901.049,17548579717.037,26633218929.721,30207693544.065,31433791174.572,32144431341.169,26678710608.478
CZE,72718154.46339,80351468.757527,71449852.840034,22231647.110024,16648454.595001,27890281.37446,50444250.001468,38682334.310127,51911427.108882,150537364.79689,236526071.58565,71070145.598521,76986259.915989,324852758.52398,92270589.836249,81403026.026038,39976900.42783,47204702.176904,55604297.500308,35989511.835501,36393622.869709,65065731.554845,63926281.564314,125140876.10312,162564570.0395
