LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,95266.221455858,22624.195521314,31136.231130471,37787.553837817,36362.049656015,31327.977293482,80521.781141799,121869.18074662,129326.37126368,211790.88745269,249745.71345539,232419.1272226,57016.118456688,100691.82475883,28510.497565204,21436.19658993,20041.586291555,0.0,6707.4179570994,26653.935492772,0.0
AUT,3000000.0,,,,,,,1000000.0,3000000.0,12000000.0,7000000.0,7000000.0,4000000.0,3000000.0,5000000.0,11000000.0,2000000.0,3000000.0,11000000.0,10000000.0,2000000.0,2000000.0,3000000.0,3000000.0,4500000.0
BEL,151000000.0,125000000.0,181000000.0,129000000.0,139000000.0,152000000.0,153000000.0,153000000.0,153000000.0,153000000.0,156000000.0,162000000.0,178000000.0,188000000.0,188000000.0,154000000.0,152000000.0,152000000.0,167000000.0,103000000.0,291000000.0,225000000.0,237490000.0,,
BGR,,,,,,,,463266981.32567,38481272.447409,25599016.997747,85387053.890991,196850393.70079,405460681.05123,0.0,0.0,0.0,0.0,0.0,0.0,511299.72389815,1278249.3097454,0.0,153389.91716944,0.0,0.0
BLR,,,,,,,,,,,1491980.6042521,371333.08577794,2379333.7865398,3502069.4046482,3341043.4335646,3797468.3544304,871333.13970375,1399645.4231595,1186541.2323078,1547987.6160991,226474.91790284,136252.15732582,1053258.231442,623545.06152311,597703.11232549
CAN,5013368.9839572,4621072.0887246,7008154.9439348,6013590.7150159,,,,,,,,,,,,,,,,,,,,,
CHE,7764477.5153672,7014411.4271139,38922337.772912,39455027.433574,17495626.093477,16691275.598639,0.0,4089422.0283533,0.0,1295252.8981284,,,,,,,,,,,,,,,
CZE,1383460.7270086,464291.62156751,2422500.8562288,5599492.164869,3118195.8932004,11290929.619872,8573760.7685848,16647682.467362,11494000.194707,11502646.862473,10172803.362733,18596805.725134,14049902.371191,21555350.775271,58855103.799689,57800497.353117,22326875.213508,17219575.436057,7157369.7820465,9551202.4346487,15136521.898479,9772806.2972087,7216870.7648364,2768776.0060211,51110643.635712
DEU,711000000.0,757000000.0,741000000.0,828000000.0,849000000.0,828000000.0,844000000.0,810000000.0,825000000.0,790000000.0,790000000.0,800000000.0,820000000.0,905000000.0,1170000000.0,1100000000.0,1070000000.0,885000000.0,865000000.0,865000000.0,830000000.0,895000000.0,860000000.0,910000000.0,1110000000.0
FIN,2000000.0,2000000.0,1000000.0,0.0,1000000.0,0.0,3000000.0,4000000.0,2000000.0,4000000.0,1000000.0,2000000.0,5000000.0,2000000.0,2000000.0,2000000.0,1000000.0,2000000.0,3000000.0,2000000.0,2000000.0,2000000.0,4200000.0,8100000.0,3600000.0
FRA,144000000.0,79000000.0,93000000.0,114000000.0,139000000.0,153958361.925,152922547.16219,154185780.6039,177189005.97097,146777232.61299,144877673.91258,217921894.30739,225525510.29515,189293984.14823,245133207.22042,253244000.0,264288000.0,235987000.0,224364000.0,179970000.0,164144000.0,192250000.0,35060000.0,226320000.0,163000000.0
HRV,,,,701724.83965587,1055603.9374027,1700791.5222084,2004436.4860892,1618821.4979495,2245795.7382723,3334044.5961805,1891355.1559693,1228685.7158459,2044125.8636432,1937930.8435536,3541607.0723169,2606774.8706902,3495375.3495375,3323893.4758619,1715265.8662093,,,,,,
