LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,2684525.2952412,884116.11233378,522044.51615965,2075442.6817169,2051260.3939325,1401130.4008712,5600115.4787645,705423.76332669,2059814.5070464,2343183.8312263,1243065.6436155,581968.67068656,1376640.7684425,90816.623074688,297787.00675395,869495.80646449,460305.48461177,662869.06839098,693103.68974107,549354.1956703,0.0,0.0,304952.37960849,1079749.7524032
ARM,,,,,,,,,,,,,,24323246.762079,53176667.532975,42656887.507874,26377717.6031,23882677.858208,11672457.885817,12014666.766381,12385037.632962,5638192.3252348,,,
AUS,571626711.18304,802011114.08396,747886518.71042,648492072.22955,564957297.04591,411180193.77677,366910463.5529,662954843.00173,748523928.5745,1105364375.8845,1496283128.6361,1251611424.677,1962260345.0615,1734889810.4184,2284971414.3283,3611610590.3921,5164883847.2106,6602253137.6371,4975556295.7156,4320269257.6053,2796273621.706,2563852635.6123,3825342109.5036,5025635392.8338,
AUT,521000000.0,590000000.0,710000000.0,979000000.0,1120000000.0,1199000000.0,1071000000.0,1191000000.0,1145000000.0,1335000000.0,1330000000.0,1489000000.0,1505000000.0,1683000000.0,2062000000.0,1936000000.0,2143000000.0,1688000000.0,1648000000.0,1567000000.0,1549000000.0,1523000000.0,1552000000.0,1682000000.0,1737000000.0
AZE,,,,10380622.83737,6832934.7454732,4840856.8316592,8393285.3717026,25027203.482046,4501665.616278,7366181.0443608,19526275.575176,11592652.04209,3401939.10529,10753577.632559,2679049.8303268,2817165.9310733,2729754.322111,2970297.029703,3838771.5930902,3837666.6986472,1762269.8035069,1133465.5709833,1029707.0483447,3485014.437917,525403.24699207
BEL,668000000.0,537000000.0,635000000.0,637000000.0,764000000.0,1012000000.0,856000000.0,1049000000.0,959000000.0,976000000.0,948527538.2,928448430.70712,820740802.27657,982865787.45468,1404314280.9247,1376467072.8178,1295066302.6247,1333431629.7625,1200786096.1563,1107978558.46,1005993899.6279,959083668.59,880000000.0,,
BGR,45506257.110353,26905829.596413,13704406.49378,22851919.561243,21474588.403722,77860874.910358,77507442.767683,50790067.72009,26167265.264238,31230800.737252,45505675.426935,39370078.740157,44483075.979139,71581961.345741,49596073.21812,129870129.87013,89988751.406074,114019838.42929,123734533.18335,167195009.71469,301155537.37601,153389917.16944,92033950.301667,96124348.092852,173841906.12537
BLR,,,,,,,,,,,142111152.55502,154103230.59785,178110129.16383,207895574.65775,188383448.98484,263797468.35443,389631135.63753,530465615.37744,379099923.72235,297066194.89901,188880081.53097,96557362.158234,180519302.10194,89832058.530096,236178115.52747
CAN,290775401.06952,276686691.31238,410932721.71254,480485898.12977,510815412.75147,608226371.06184,473786687.82,452522255.19288,489886219.97472,356215213.35807,580910114.5923,598230585.59191,645380897.27007,616943500.28859,493313146.60611,697402122.21003,869438790.34603,1044520547.9452,1011400175.3873,962574135.93292,1065180586.9074,796508456.08292,918464900.30046,1081557966.2789,1366359291.9163
CHE,1079262374.636,1170131360.7958,1231527093.5961,1290302694.0386,1342789302.6743,1463054503.4346,1643935381.3559,2011995637.9498,2004340106.5299,2115795609.0927,2191435768.262,2350772360.3077,2329092347.9637,2622393043.9166,2888270746.407,3032122702.9373,3410048622.3663,3463867916.7012,3665610528.8813,3550139963.7741,4193518171.5998,3835993395.7072,3120726880.1727,3078188587.7565,3434888110.0027
CHN,4240335636.2958,,5279072017.5654,6851483193.8323,7712355357.9067,8811444011.1869,9296277374.3996,,,8229686735.1219,12447847574.01,19649052828.724,23935236303.206,40094043624.863,70183376184.013,85005375986.132,65833781221.935,75538542429.544,81347409866.712,94554260063.719,111893102345.15,105447932216.96,105083810974.09,97308264694.823,95008721359.614
CZE,112319717.77401,159803372.49827,280063374.84999,302455737.67765,268707141.75319,370746942.74207,393952562.43871,473793692.05357,415919504.31339,411744609.89729,484400022.83005,465026007.29757,612539717.99324,1217156136.0631,740621739.72209,563179264.56576,446822182.0962,381534888.53009,334664758.03472,454245019.21135,1164925783.3975,681496030.95338,565612750.31146,741057048.48478,762841938.77631
DEU,5747000000.0,5200000000.0,4745000000.0,4423000000.0,7350000000.0,5305000000.0,5481000000.0,7437000000.0,7228000000.0,6404000000.0,3411000000.0,3971000000.0,3836000000.0,3816000000.0,3412000000.0,3807000000.0,4086000000.0,3930000000.0,4684000000.0,5543000000.0,5541000000.0,5192000000.0,5711000000.0,6145000000.0,6948000000.0
DNK,726071706.40499,1033587869.2356,872255408.99918,818021813.91504,634649523.91199,563873460.51678,459730012.61372,478433483.61483,337922403.00375,341536848.61356,240884630.35281,178171629.28503,232055618.18865,372988197.42489,356687213.78403,396390589.75185,862871944.91793,915795695.7468,996124914.52017,1159371688.4197,1308422492.1567,1185026996.5348,1228171589.1218,1351365856.2765,
ESP,767000000.0,816000000.0,686000000.0,944000000.0,1391000000.0,1840000000.0,2456000000.0,3652000000.0,3791000000.0,4368000000.0,5764000000.0,6336000000.0,8345000000.0,8981000000.0,8772000000.0,7669000000.0,7553000000.0,5350000000.0,2710000000.0,3042000000.0,2613000000.0,1657000000.0,2215000000.0,2168000000.0,2218000000.0
EST,4000000.0,0.0,0.0,15000000.0,24000000.0,19000000.0,15000000.0,18000000.0,16000000.0,20000000.0,20000000.0,21000000.0,30000000.0,23000000.0,37000000.0,35000000.0,94000000.0,47700000.0,26500000.0,15500000.0,13100000.0,14500000.0,13800000.0,26400000.0,33000000.0
FIN,226000000.0,192000000.0,224000000.0,254000000.0,264000000.0,233000000.0,204000000.0,225000000.0,275000000.0,328000000.0,281000000.0,234000000.0,211000000.0,327000000.0,361000000.0,388000000.0,355000000.0,450000000.0,605000000.0,643000000.0,567000000.0,537000000.0,521000000.0,491000000.0,462000000.0
FRA,2765572478.7448,2963000000.0,3024000000.0,2879000000.0,2891000000.0,2954750000.0,2443638000.0,3044642000.0,3633564000.0,3680498000.0,4171382500.0,4303020000.0,4616418000.0,4696513301.88,4968770094.2,5103166000.0,7060006000.0,7991727000.0,10364564000.0,8921881000.0,8576194000.0,8614650000.0,9334770000.0,9901590000.0,11630000000.0
GBR,2413751507.8408,2734423006.0219,3361247473.2891,3910085773.4398,4816444174.7573,4874487284.6596,5875542691.7511,6749363867.6845,7493857493.8575,5450928381.9629,5756689574.4992,7939278380.7568,7729667740.9665,7538440677.9661,6307135218.2802,6387090421.8131,7532693016.8242,8765858710.3933,8426350682.9958,10306706349.206,14665633608.815,13511090487.239,13161511070.532,13542947558.77,13298360879.973
GEO,,,,,,,,41471765.44341,18963598.13662,10915197.313182,14178112.538768,61756018.974313,211984789.545,48437214.403217,91253817.998874,83384277.966077,266775528.01767,243833586.41756,62659342.121589,76544603.546032,88229139.267876,88687246.861682,46845968.780884,54016355.862442,42056254.182694
GRC,,,,,,591000000.0,304000000.0,983000000.0,1699000000.0,1786000000.0,430000000.0,247000000.0,324000000.0,340000000.0,467000000.0,503562714.55481,164317672.21319,246008252.33063,142647267.83561,59358735.15676,343564393.94217,449573425.04676,223801714.39793,150967152.62608,107386362.08626
HRV,7168039.3218157,13337585.896953,29515008.238412,25402439.195543,24806692.528963,19232027.212664,20979768.5544,36423483.703864,104363449.01383,128160674.27718,93757177.017333,121503365.23366,92258213.979095,125688657.56762,98211488.42848,83416795.862088,80528070.552807,61824418.651031,183137617.09988,130720666.43963,60021013.921723,44329418.010485,62563635.389315,99621196.802416,128198215.20045
HUN,84991378.126568,102938519.74584,79737526.505909,135276507.87865,188116128.39408,196793653.13744,227570120.04324,277905522.82675,279364646.10327,154510341.26677,170675845.7092,91408667.998069,376435451.86618,298159789.46323,317614835.73711,271989023.69182,348777344.16956,472418138.54493,623201661.74537,626656305.15956,701286715.76892,323165093.43094,556053318.67528,803129312.31867,879842868.51061
IND,,,,,,,,,,2330943045.1366,2811425696.7958,3223047286.8462,3927094512.3867,4663260211.7593,4723696611.5663,5149561182.619,4944379162.9837,6075867422.453,5928516618.7311,8786181249.2432,9643918863.2718,9890866187.3882,10368632928.544,,
IRL,29000000.0,2000000.0,9000000.0,4000000.0,5000000.0,85000000.0,141000000.0,237000000.0,247000000.0,184000000.0,184000000.0,172000000.0,244000000.0,,,,,,,,,,,,
ITA,1950000000.0,2013000000.0,2078000000.0,2170000000.0,3681000000.0,4549000000.0,4856000000.0,5525000000.0,7403000000.0,8809000000.0,10175000000.0,8970000000.0,7702000000.0,7109000000.0,5687000000.0,4773000000.0,4466000000.0,4238000000.0,4103000000.0,4742000000.0,2861000000.0,3874000000.0,3296000000.0,2855000000.0,
JPN,8456340090.1535,7522380693.9342,6198278849.0353,6186887286.5047,8308133793.1715,10145572962.221,9586956887.2693,9085073598.9547,7522860700.8994,6214676345.7709,6050438949.9285,6738741815.8659,6882796271.1286,7369257129.5147,9601945140.8457,11305885028.835,10208813811.71,11803122282.229,9192030123.1835,8644266432.5826,8880164753.4196,9174734997.4464,,,
KOR,,,,,,,3107005710.0573,3493725020.2815,3444917322.987,2979729807.2911,3846167583.5025,3827285511.1526,3458381040.0623,4286806937.0153,4628046655.2635,5256921213.8269,4938070506.4676,5962700456.0815,5837744881.3362,6176263037.2934,8590822330.0301,7552826230.3433,7771604748.5253,5366736538.0191,6278662976.7574
LTU,4000000.0,17000000.0,22000000.0,29000000.0,19000000.0,18000000.0,25000000.0,58000000.0,85000000.0,70000000.0,68000000.0,50000000.0,76000000.0,85000000.0,67000000.0,107000000.0,116000000.0,140000000.0,139000000.0,264000000.0,180000000.0,70000000.0,49000000.0,65000000.0,86000000.0
LUX,23231763.093116,167914273.46126,28696427.110627,35507475.22924,29761823.901398,39218601.0,72480850.0,68805000.0,88265000.0,106899000.0,126527000.0,103884868.0,138483654.0,149743176.0,172348101.0,156537840.0,150428284.0,124933429.0,145888748.0,191503382.0,277740939.0,317180624.0,289998924.0,263917942.0,
LVA,7000000.0,9000000.0,17000000.0,21000000.0,19000000.0,24000000.0,19000000.0,24000000.0,32000000.0,29000000.0,35000000.0,29000000.0,36000000.0,63000000.0,63000000.0,73000000.0,53000000.0,102000000.0,77000000.0,136000000.0,209000000.0,24000000.0,22000000.0,17200000.0,13400000.0
MDA,4589105.1245007,4106073.5671514,4766171.6203077,3305621.2088657,894734.48754082,1305335.340649,1909655.9147252,7869598.4167303,10408667.119401,5606623.6390899,9374282.5804148,6427436.6654944,10474671.161545,24542206.049817,8454121.8684255,7255124.3125922,7164420.3861439,10407364.816683,12797435.728766,4511544.720687,4480050.5982185,1034266.8952941,998003.99201597,1219364.7210577,
MEX,168495751.20208,157465769.33639,233898578.94634,282250219.32134,381299853.5569,430111031.30366,364666744.67579,338232428.97366,201333460.88281,191909478.63094,222531383.82847,370599622.88016,562760683.72983,498957192.37359,437575104.18709,434765176.31323,649906184.15807,590730097.00547,699289810.60378,997829712.86164,1150139165.7925,1355875508.1784,1652722896.2421,1455788071.5437,800787259.71153
MNE,128.62854571,367.5101306,255.15703353,0.0,710.344581,0.0,0.0,,,,,,,,,,,,,,,,,,
NLD,,,487000000.0,503000000.0,488000000.0,710000000.0,816000000.0,1348000000.0,1298000000.0,1051000000.0,1100000000.0,703000000.0,845000000.0,820000000.0,778000000.0,1097000000.0,1136000000.0,,,,,,,,
NOR,323655057.56281,488647039.44559,389527777.08484,348361624.6631,197125503.63822,362719844.21411,199157648.87127,189478169.39854,200262516.40728,221932894.56396,193188483.57024,258255347.17821,310040781.71183,287544985.89631,358583081.29411,479265550.83687,561123015.92393,675807638.28506,838682399.96925,1218297806.1304,1281411812.0715,1460608865.0231,1345217931.9512,1411578443.014,1664720752.9163
NZL,,,,,,,,,,,,,59590916.41166,150476139.19572,71940602.241759,181166812.19857,227824469.4843,231331194.41275,212508339.71682,148183810.44977,124470372.27957,115826640.25316,116607858.48722,96736009.774441,85928602.74795
POL,247532557.62621,,,337549508.11294,237058767.86221,198113678.32726,113014351.46102,108472816.91968,194393288.31594,219981465.95472,236165663.99841,353264357.78286,646824033.20029,903530482.77432,649914545.7065,690112640.801,925291961.05567,430896446.23951,262800505.11067,53052933.444856,340441809.31433,326565221.37684,510302375.30249,461906773.69385,654799301.91972
PRT,196000000.0,260000000.0,476000000.0,536000000.0,342000000.0,401000000.0,418000000.0,523000000.0,704000000.0,484000000.0,415000000.0,307000000.0,329000000.0,392000000.0,360000000.0,403000000.0,333000000.0,86000000.0,71000000.0,120000000.0,177000000.0,79000000.0,110000000.0,132000000.0,216000000.0
ROU,70422535.211268,50263885.398341,43268636.419829,46403712.296984,30083497.053045,43140205.668422,56901191.849289,106246799.79519,98809492.103231,57742134.484886,109043727.91519,101861309.72648,310674376.10474,316232356.13464,177375224.07774,168859544.95796,161374038.59765,117763172.65203,208856606.24986,277659023.91828,321920273.5535,262091386.83531,214503031.49692,182853459.38977,
RUS,,1495668631.0412,1736313326.1171,964268268.41315,1180780554.0301,2603664234.8679,3271690109.5704,2046399508.7786,3231072457.4157,3646100451.2152,4016900071.6129,4168733385.8928,5434079846.9861,9488821436.9103,6574392815.8378,9052977994.9401,9869977719.5603,11193950761.898,9786916952.9637,6474551311.3694,5022319784.8168,4830404644.2182,3608852028.6215,4355181800.716,6677866236.9858
