LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,15428479.646246,13599960.600463,27745479.569076,72660908.050404,108347272.35157,107567894.49799,64458009.336549,60782802.204995,91078261.986476,68193896.448989,175223508.07749,253261449.42531,499989410.45563,486769531.6284,241919259.04782,210147158.60174,180820940.44726,234163844.12741,192718552.74233,179236200.83101,89140343.978913,159032879.76283,169252490.37911,175879110.96077
ARM,,,,,,,1371881.4589819,830439.40578923,418066.27152908,3923281.2085257,19854465.369135,23142418.734865,29057065.221456,50248397.318367,84166325.627658,36550829.594111,30534426.252279,26502499.4446,23186814.661562,66773298.72047,77721546.820051,90425116.729596,,,
AUS,2425107142.0876,2924042251.7672,3333285963.236,3537193229.9963,3929716944.5709,3700546880.5538,3261995407.4396,3429883601.007,4084762235.5342,5192125950.6944,6753177989.5345,6972545187.0836,8026364946.6564,9304510165.2557,9195852832.0698,11200596050.662,13801954227.285,15900879666.178,12734390340.039,10438895603.571,10457074592.58,11863364266.724,13676319910.035,14717863170.703,
AUT,457000000.0,426000000.0,365000000.0,430000000.0,391000000.0,475000000.0,640000000.0,532000000.0,650000000.0,720000000.0,687000000.0,802000000.0,870000000.0,875000000.0,665000000.0,390000000.0,303000000.0,327000000.0,363000000.0,453000000.0,455000000.0,444000000.0,515000000.0,463000000.0,562000000.0
AZE,,,,,1138822.4575789,30255355.19787,47961630.695444,46789989.118607,34212658.683713,48289409.068587,82349944.817047,260388799.71464,374213301.5819,1328480436.7607,1271655652.7951,1545685040.8489,1561419472.2475,1484158415.8416,1913627639.1555,1411301928.4275,873204687.63768,498158118.44715,557071513.15451,695011450.76172,844323017.91625
BEL,160000000.0,159000000.0,153000000.0,152000000.0,161000000.0,149000000.0,147000000.0,172000000.0,185000000.0,156000000.0,156000000.0,169000000.0,166000000.0,156000000.0,175000000.0,348000000.0,248000000.0,553000000.0,587000000.0,417000000.0,778000000.0,810000000.0,655906000.0,,
BGR,,,,,,,,,,,272011453.11382,256161161.67297,213211984.86553,256161161.67297,130892729.31793,370692299.82616,511811023.62205,585949483.58728,505164127.21137,563452295.73576,839042846.91686,163104611.92351,115042437.87708,882503323.44821,528172614.78679
BLR,,,,,,,,,,,537113017.53077,601559598.96027,781101291.63834,933142311.36581,647134412.74737,878734177.21519,1186610514.0866,1581319399.0856,1446139503.3477,1357658853.0149,1007813384.6676,872967571.98656,960754682.41975,1004655803.126,1157793621.6539
CAN,3575646167.5579,3335258780.037,3476681957.1865,3158939202.5979,3206155010.4055,3725933488.9148,4394605898.8967,3983679525.2226,3936788874.842,4173160173.1602,5493144333.3113,6777840190.9844,7804479542.5148,8752004104.4058,10890108503.659,15378704720.088,15066152951.439,14756382316.314,13086085939.784,5108668219.7559,7214836461.9639,7042672778.2188,7481340453.8651,6431185465.9522,7543245608.1308
CHE,2520219993.5296,2418696594.8221,2335948427.9025,2297638863.202,2603099225.1937,2716184117.6093,2765492584.7458,2846919302.072,2734924705.7276,2729097856.3565,2766259768.7787,2710571483.0589,2674255798.3807,2840400730.8928,2996887211.0736,3418463319.346,3822528363.047,3880361735.6675,3731416037.0461,3647291289.3134,4225708277.7483,3968196208.0306,3930182107.6613,3816554652.7202,
