LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,1898772.8587034,818660.71852309,4055619.141978,5739004.2639067,8227749.0762269,13082051.138652,7548761.5085887,7933810.2495743,10725501.248088,5987839.0806839,1026528.0719055,3144280.0983361,2845587.5230069,3929335.8696071,9927931.6262707,8810534.6663972,1097654.1562603,2172201.2544462,5843410.7916784,2586395.2116737,0.0,150516.34160624,1008275.9944122
AUS,59525524.142835,101045813.84711,185038733.24065,214997944.19443,135453503.91908,95895030.137252,168709023.873,180428527.69773,193562405.45824,418766643.9962,578362757.79689,700741159.36186,701941567.16573,1061627794.9003,1170537222.0027,1812219800.4345,3515843602.4723,5758438995.3117,4636538436.3651,3210818133.5812,1206142727.1151,836243492.05602,600406173.23486,556760873.50134,
AZE,,,,,,,,,,,,,,,,,59144676.979072,48514851.485149,420345489.44338,260001918.83335,80183276.059565,40804760.555398,65901251.094064,0.0,0.0
BEL,153000000.0,152000000.0,129000000.0,139000000.0,164000000.0,167000000.0,186000000.0,157000000.0,189000000.0,233000000.0,260000000.0,184000000.0,159000000.0,203000000.0,219000000.0,230000000.0,241000000.0,236000000.0,197000000.0,150000000.0,108000000.0,90900000.0,120400000.0,,
BGR,,,,,,,5132943.2296479,4104247.896573,3078501.7957927,1023960.6799099,4601697.5150833,8180795.5823704,46016975.150833,6646896.4106759,8180795.5823704,5112997.2389815,4601697.5150833,3067798.3433889,2556498.6194907,14827691.993046,10225994.477963,11248593.925759,7669495.8584722,5624296.9628796,110952040.0859
CAN,61831550.802139,109172828.09612,54153924.566769,65548138.793674,59910449.64369,166277712.95216,178841854.76311,114647963.31265,103666245.25917,118738404.45269,107968470.55706,160089875.01755,174960855.06161,183415635.22093,299015897.04769,319063300.40249,249345740.04071,431973848.06974,578047354.57469,520696207.10751,702661034.74323,714138304.50355,821717047.13057,1336005786.2567,944336003.2308
DEU,506000000.0,491000000.0,562000000.0,450000000.0,409000000.0,562000000.0,506000000.0,1020000000.0,440000000.0,430000000.0,570000000.0,580000000.0,640000000.0,630000000.0,685000000.0,965000000.0,925000000.0,890000000.0,780000000.0,450000000.0,460000000.0,430000000.0,410000000.0,435000000.0,510000000.0
DNK,61279360.183429,53534063.425637,30736746.448569,56668177.818075,52046909.462585,56883737.154203,96347387.348702,10497274.745979,40238470.130674,101748679.41773,67501375.525048,104570256.46526,67106887.850969,70681330.472103,66207378.160966,49414545.063917,62276027.755781,64886214.030468,150846753.10744,68008960.549437,73606306.813611,80989604.319446,47320096.253378,,
ESP,481000000.0,460000000.0,479000000.0,533000000.0,605000000.0,891000000.0,1175000000.0,1403000000.0,1680000000.0,1942000000.0,2258000000.0,2432000000.0,2573000000.0,2871000000.0,2508000000.0,2247000000.0,1789000000.0,1245000000.0,830000000.0,873000000.0,904000000.0,847000000.0,920000000.0,927000000.0,929000000.0
EST,19000000.0,21000000.0,12000000.0,22000000.0,10000000.0,17000000.0,27000000.0,21000000.0,59000000.0,66000000.0,24000000.0,31000000.0,57000000.0,41000000.0,75000000.0,39000000.0,18000000.0,8626000.0,5945000.0,6705700.0,12183000.0,6053000.0,4900000.0,6000000.0,5000000.0
FIN,41000000.0,51000000.0,43000000.0,56000000.0,70000000.0,59000000.0,72000000.0,55000000.0,89000000.0,118000000.0,136000000.0,195000000.0,221000000.0,238000000.0,100000000.0,69000000.0,77000000.0,56000000.0,40000000.0,44000000.0,55000000.0,114000000.0,99500000.0,58300000.0,86900000.0
FRA,177640000.0,195350000.0,177640000.0,189150000.0,173620000.0,196510000.0,295530000.0,320340000.0,483460000.0,377470000.0,282570000.0,261280000.0,302000000.0,287000000.0,274000000.0,213000000.0,215000000.0,228000000.0,323000000.0,340070000.0,307520739.0,310000000.0,273000000.0,301000000.0,301000000.0
GBR,199034981.90591,184343124.00147,288766965.0592,354924578.52706,379247572.81553,336341263.3306,374658305.19376,375318066.15776,448041624.51221,297671676.98202,336306477.5552,,,,,,,,,,,,,,
GEO,,,,,,,,,0.0,2938706.9689337,4430660.1683651,3132551.6871028,4370820.4029896,29702065.435935,23633028.311208,29854377.568037,6299300.6009462,20475562.882713,27184915.591763,22429351.413586,10504234.850171,10602741.06631,13720714.266554,4177876.0930606,6117088.3505612
GRC,,,,,,166000000.0,178000000.0,98000000.0,105000000.0,86000000.0,85000000.0,89000000.0,64000000.0,112000000.0,107000000.0,61060107.37,18695494.13,21435433.64,38647029.640638,25428145.09,20457543.370813,19669161.945788,8602061.3742822,12198587.405386,8495108.9322702
HRV,1316578.6509457,289947.51949897,716383.6951071,6175178.5889717,9632385.9287995,7457316.6742984,24454125.130288,27654867.256637,10304239.26972,9335324.8693055,16616906.013158,13515542.874305,17443207.369755,51908861.8809,76689414.681323,51449504.026781,62647881.264788,95861087.843857,74284206.359678,69682760.066015,,,,,
IND,,,,,,,,,,17441222.724201,28480988.46582,56199787.92493,65648851.536412,55089389.373266,65399539.43735,71895047.101659,61020791.864042,62168009.905766,39466023.417621,33961625.462673,66324591.96289,79668459.704938,,,
IRL,45000000.0,50000000.0,53000000.0,37000000.0,50000000.0,58000000.0,38000000.0,72000000.0,62000000.0,44000000.0,31000000.0,34000000.0,30000000.0,31000000.0,12000000.0,6000000.0,16000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,,,
ISL,18280197.16161,17343020.851793,17424525.827945,22114147.657745,30875874.578906,19543220.265452,18648114.652727,28110940.17927,14883959.387229,34397183.056576,22762070.543248,34287679.438097,36703023.72238,23425935.015215,19912558.650746,14454413.714427,16877328.761693,15249102.856877,15537200.063093,15150849.878478,19982124.52971,35212409.933867,36062988.85869,29697511.711573,
ITA,212000000.0,199000000.0,221000000.0,250000000.0,247000000.0,231000000.0,272000000.0,494000000.0,1817000000.0,2447000000.0,2062000000.0,848000000.0,1179000000.0,940000000.0,1278000000.0,1345000000.0,1268000000.0,1343000000.0,1126000000.0,1168000000.0,1059000000.0,1032000000.0,772000000.0,658000000.0,
JPN,,,,,,,,5130663303.8806,3838926581.1552,3599066813.603,3204075356.0855,2801814986.9769,2505598390.1837,2849499030.1446,4655581797.1798,2168452233.5432,2287048234.9827,3281082732.7302,2287780442.1123,1916521584.1805,2109821095.8099,2617434363.7397,2257981799.5753,2247547541.1937,2774871078.9242
KOR,485985626.53672,612344452.0723,864554251.88427,640969716.84633,802494567.22422,925587644.35914,918969864.62686,1095821251.9026,1241825210.8954,1174309579.0634,1457512448.1637,1618010927.0794,1620880313.8219,1273988927.5298,1200262981.2372,1215489064.9689,1059886968.6647,1129441792.9129,1051950613.7372,1077525421.3209,1326568443.7652,1338620415.774,944736313.30489,873884693.1356,860068923.73701
LTU,6000000.0,8000000.0,21000000.0,19000000.0,11000000.0,13000000.0,33000000.0,29000000.0,23000000.0,16000000.0,30000000.0,30000000.0,26000000.0,42000000.0,16000000.0,21000000.0,27000000.0,28000000.0,83000000.0,22000000.0,17000000.0,13000000.0,25000000.0,36000000.0,78000000.0
LVA,,,,,,,,31000000.0,36000000.0,85000000.0,54000000.0,79000000.0,142000000.0,269000000.0,,,,,,,,,,,
MDA,,,,,,,,,,,,,,4581211.7959659,3097693.5090414,5365133.9454463,4163936.6346819,,,3867038.3320175,0.0,45362.583126934,47980.961154614,0.0,
MEX,133461981.15016,123463944.22623,170493008.95088,165592014.94165,237870634.69835,314550249.94753,757660601.27821,456141264.67501,227669255.88827,527091399.68832,565040703.52994,512918649.65485,437628482.76271,580078450.40206,382818292.61017,486571307.1356,542755890.50201,666596208.02958,653456109.37994,629273270.20018,695308509.05836,542649626.90991,582467525.92384,510389029.25344,484594153.84537
MLT,,,,,,,,,,,,,8000000.0,7000000.0,13000000.0,3000000.0,6000000.0,8000000.0,4000000.0,5000000.0,,,,,
MNE,150.41664631,11863.75203016,290.85801764,871.78653122,814.29744651,3789695.4234264,842097.72833017,0.0,1000000.0,0.0,1000000.0,1000000.0,2000000.0,3000000.0,2000000.0,3000000.0,3000000.0,1000000.0,25000000.0,19000000.0,7000000.0,1000000.0,1000000.0,1000000.0,400000.0
NOR,67820336.446794,76255780.188138,77581260.757852,82036975.743534,106320283.84148,123001836.40016,,35685277.160091,24001500.093756,72265555.011407,99464613.311036,73077066.47776,123467567.93834,8632428.7520669,81110805.609018,18985760.67949,8212182.25912,11370476.891178,28699183.866959,12806549.293246,10512542.357717,34543243.621337,63031966.211436,114680332.47922,
NZL,,,,,,,,,,,,,,,,,,119931041.87284,137101855.74143,185990690.05512,151378603.66873,200455626.75117,150289250.52032,211880589.06953,207758881.98648
POL,29640841.295368,876757.16748984,2962005.5470286,6899195.0939057,10173180.656762,11477618.643645,11709920.753792,10639678.21461,21144533.115067,13679890.560876,9446626.5599364,13863572.180432,17446009.886072,29586640.493869,4157235.9000416,27033792.2403,63612304.853473,153908658.55699,93874341.807438,,,,,,244328097.73124
PRT,62000000.0,51000000.0,72000000.0,86000000.0,86000000.0,93000000.0,31000000.0,22000000.0,22000000.0,84000000.0,44000000.0,114000000.0,157000000.0,128000000.0,100000000.0,112000000.0,83000000.0,62000000.0,34000000.0,87786343.35,,,,,
ROU,7412898.4432913,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,139957840.31635,157227143.14027,90043963.598864,220254438.95296,241863344.96033,270246782.1839,373443003.46824,274817393.00946,300122297.17655,278315505.89385,235972344.74694,197225195.90631,412534164.73238,182554368.77792,115177110.56655,326565139.68122,86368639.489442,147651260.61348,138829309.06682,49296055.812771,178187375.01415,141514086.91165,299758086.12026,469398340.96449
SVN,0.0,0.0,0.0,1000000.0,5000000.0,2000000.0,6000000.0,4000000.0,6000000.0,4000000.0,2000000.0,3000000.0,7000000.0,10000000.0,54000000.0,13000000.0,6000000.0,5000000.0,8000000.0,23000000.0,16000000.0,25000000.0,14000000.0,3000000.0,14000000.0
SWE,,,,,,,,31444480.838519,65209767.21757,76383561.643836,37176323.530996,42687473.658046,80630343.381503,60310495.065978,72416683.146406,107259948.25545,88395586.866941,69257008.970103,101265822.78481,103771614.50604,81244320.915068,99922892.482545,143822183.48224,197041933.56538,
TUR,6345175.2921536,13805819.767442,13676559.766764,18436174.061433,13878293.840985,8635280.9184206,2097096.1887477,3060855.0341178,5220133.1997407,11061660.190347,16890105.978423,17846077.84577,26325348.236397,32505606.453223,21392801.789611,17212705.162397,35351715.238544,73243950.138475,45148725.521825,10302404.689837,8377696.802069,53569872.208415,91231135.051196,,
