LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,,,,,,,,,,80828.9820398,122187.05045348,143792.98653492,123472.66133701,128286.26652755,64730.45877353,49893.370739106,7145.3988633099,0.0,0.0,0.0,0.0,0.0
AZE,,,,,,6051071.039574,10791366.906475,9793253.5364527,8102998.1093004,7366181.0443608,44146362.169963,10700909.577314,10205817.31587,7444784.5148482,10716199.321307,3756221.2414311,7279344.8589627,7920792.0792079,9596928.9827255,9594166.7466181,7930214.1157811,5667327.8549164,5148535.2417237,4978592.0541671,5254032.4699207
BEL,26000000.0,,,,,,,,,,,,,,,,,,,,,,,,
BGR,,,,,5112997.2389815,5634668.579039,1026588.6459296,3591216.9095013,3078501.7957927,3583862.3796846,2045198.8955926,2556498.6194907,6135596.6867778,2556498.6194907,1022599.4477963,1533899.1716944,1533899.1716944,0.0,1533899.1716944,511299.72389815,1022599.4477963,1533899.1716944,511299.72389815,511299.72389815,511299.72389815
CAN,,,,,,407672112.01867,440614408.30749,418127866.19908,477243994.94311,491032776.74706,547790951.84474,603145625.61438,629722921.91436,630411081.89572,599924299.7729,706183680.9367,699331200.9305,755759651.3076,741011400.17539,720567182.49369,800648984.19865,850381887.61593,940999726.85059,982878055.15619,1092414350.138
CHL,,,,3150249.0108045,4003851.6639415,1569902.4237596,4221588.1619878,4114763.2596961,3974004.0992704,4070888.8139859,2935060.6242323,9170471.1828226,6790638.5643665,10781446.330242,24087046.998527,24549488.188063,25125828.72098,22409418.019769,17830132.186787,21565652.986556,26756024.972258,24086060.966408,24326898.614095,19874564.775682,58209581.429179
CZE,6657904.7487289,4497825.0839352,6487847.1207046,8399238.2473035,8703833.7540638,12807621.658362,14005766.734983,12428971.51072,10991530.24084,13665269.842066,14470225.245339,8186829.0858276,13041191.431721,12340237.990304,12549707.425496,13797793.143801,7035609.1292112,8788744.0447311,15161310.183475,8970140.689575,8172988.8216969,10963890.183545,17168555.714242,13687892.649485,14219043.389508
FIN,86000000.0,95000000.0,127000000.0,127000000.0,135000000.0,143000000.0,149000000.0,151000000.0,162000000.0,181000000.0,181000000.0,203000000.0,218000000.0,232000000.0,230000000.0,240000000.0,267000000.0,268000000.0,251000000.0,233000000.0,232015669.0,240000000.0,219000000.0,209100000.0,220000000.0
GEO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370864.5585816,275379.12961292,795699.83493461,1022460.8958786,1550550.164861,1374510.0701516,1207524.1993945,1203406.7244257,1244363.4626409,1244919.5256247,1385183.1795695,1748481.4065572
HRV,1170292.134174,1159790.0779959,1146213.9121714,140344.96793117,659752.46087668,523320.46837182,267258.19814523,269803.58299158,396316.89498923,666808.9192361,675483.98427473,1638247.6211279,1907850.806067,1799507.2118712,3405391.4156893,2332377.5158807,3495375.3495375,3456849.2148964,4486079.9577781,4453409.4779032,3546099.2907801,3981684.2524388,6296554.3111302,6605465.0112563,6740179.5583834
HUN,28435777.068369,,,,,,,,,,,645914455.8129,658888372.06896,,6820092.2574514,8219625.1839959,8541223.6259518,8082107.4020701,7586731.7476059,7061729.0663455,7454157.3839392,7747155.0686322,18610574.816707,22876393.005567,26166033.475304
IND,,,,,,,,,,64294527.761311,76885897.114007,84985474.042925,210708786.94155,116640462.26035,167543567.72183,220176517.69718,143922776.77024,166703445.76605,128553822.20724,124978781.70264,136443175.41518,,,,
IRL,,,,,,,29000000.0,29000000.0,30000000.0,30000000.0,33000000.0,35000000.0,37000000.0,37000000.0,33000000.0,34000000.0,29000000.0,,,,,,,,
ITA,194000000.0,175000000.0,210000000.0,197000000.0,94000000.0,221000000.0,510000000.0,1321000000.0,223000000.0,190000000.0,178000000.0,197000000.0,113000000.0,98000000.0,100000000.0,102000000.0,95000000.0,115000000.0,109000000.0,93000000.0,90000000.0,170000000.0,141000000.0,176000000.0,
KOR,,,,,,,,,,14043405.633382,21287301.183097,30188638.058074,27981446.596868,14456833.086118,12368632.758031,15661208.77582,15149519.253363,19020317.30733,20124447.718274,36497017.049266,49624900.166817,39185594.432539,80318046.286114,71318727.275445,79188480.560128
LTU,5000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,4000000.0,12000000.0,2000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,3000000.0,5000000.0,4000000.0,3000000.0
LUX,2560554.3636006,2827984.5772556,2662274.0346845,2812037.4057679,3192816.1506228,3043321.1209183,3157675.3610541,3467865.6060695,3533940.9748492,4160113.0716075,5528923.5894154,8423812.0830853,4112021.1905768,3489953.0,4827690.13,7549619.74,6951822.0,9732551.26,9605346.0,7503531.0,10958492.0,9586722.0,7543630.44,11968981.73,
MDA,,,,,,,,,,,,,,,,,,,59801.10153629,0.0,,,,,
NOR,26066179.132575,28794182.599041,31556364.906329,33098491.654452,32112574.418185,34139788.259364,,,,,,,,,,,,,,,,,,,
NZL,,,,,,,,,,,,,,,72039520.569842,85442185.753107,112270307.76756,148127604.05176,155056957.1771,168816999.24658,182305090.7125,154225689.46752,166402565.62501,169434586.81705,175977070.01121
POL,149150190.7735,292252.38916328,4039098.4732208,255525.74421873,946342.3866755,998053.79509956,1906266.169222,2335539.1202803,1364163.4267785,1323860.3768589,1988763.4863024,4107725.0904983,5551003.1455684,19914084.947797,4388193.4500439,5006257.8222778,20637579.818875,64287933.465574,33594624.860022,63089974.907396,96346944.630391,15354294.619122,2114512.6048446,3168567.8073511,3025014.5433392
PRT,,,,,4000000.0,6000000.0,7000000.0,5000000.0,4000000.0,4000000.0,4000000.0,5000000.0,5000000.0,18000000.0,14000000.0,9000000.0,16000000.0,,,,,,,,
ROU,22238695.329874,,,,,,0.0,8640552.9953917,1331664.3140597,1233806.2924121,0.0,1134944.9551697,1797537.3737979,,,,,,,,,,,,
SRB,,,,,0.0,0.0,0.0,0.0,0.0,0.0,458698.98482672,11879.221578368,0.0,0.0,0.0,0.0,9807.3252874037,1292450.5836831,35372.436382673,59721.357210501,58000.362916557,48745.256477229,543851.75589956,0.0,2418833.2906148
SVK,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,2000000.0,3000000.0,3000000.0,5000000.0,2000000.0,3000000.0,1000000.0,1000000.0,1900000.0,2400000.0,2700000.0,2200000.0,
SVN,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
SWE,,,,,,,36842162.127122,30352658.587182,31344526.763404,36931506.849315,34266872.124223,35879091.783472,32316987.494731,33586706.735019,30887740.015632,26396002.890991,17280340.289778,17687527.995681,16415236.113519,12311886.466818,13148751.93757,13625848.974893,14008654.235283,13747111.644096,17947046.766226
TUR,0.0,19379844.96124,34985422.740525,40955631.399317,38073908.174692,60880153.070099,21778584.392015,9747945.9685281,7661931.9856191,10700005.631582,2980270.6085713,1660210.2933038,1679167.133102,3145973.1543624,4624705.1750451,6508786.8622641,2569593.1477516,44502052.27911,31979154.32903,9631922.9446164,44013501.886293,25129386.424148,34454311.641675,,
