LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,,,,,,17000000.0,17000000.0,17000000.0,,,,,,,,11000000.0,12000000.0,17000000.0,19000000.0,14000000.0,12000000.0,13000000.0,12000000.0,13100000.0
BEL,25000000.0,27000000.0,35000000.0,30000000.0,31000000.0,48000000.0,51000000.0,51000000.0,61000000.0,61000000.0,66000000.0,67000000.0,76000000.0,87000000.0,131000000.0,65000000.0,58000000.0,71000000.0,66000000.0,27000000.0,82000000.0,103000000.0,87460000.0,,
BGR,,,,,,,,470449415.14467,544381734.22268,292852754.45423,507209326.10696,619183965.64066,787912874.52705,1533899.1716944,1022599.4477963,1022599.4477963,1533899.1716944,1022599.4477963,1022599.4477963,1022599.4477963,1022599.4477963,1278249.3097454,1380509.254525,3374578.1777278,3579098.067287
CHL,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,3573940.2114389,4555861.5366312,4371639.4761829,4296640.0274985,4284130.0097884,4297294.1090558,2671959.6915795,3537226.8790301,26097033.228966,10468348.915711,2215858.158219,1023353.6357285,2846005.8649336,1923153.9725149,1776615.2078262,1541873.7324019,1789403.4779497,2942837.3724439,4617657.923901,4503228.5243211,7476635.5140187,6247641.8758462,6495183.6883527,7526391.1149588,12154360.376785
DNK,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,14000000.0,21000000.0,21000000.0,23000000.0,23000000.0,27000000.0,19000000.0,17000000.0,13000000.0,14000000.0,15000000.0,15000000.0,16000000.0,17000000.0,26000000.0,17000000.0,20000000.0,15000000.0,16000000.0,17000000.0,16297800.0,18000000.0,16000000.0,17700000.0,12600000.0
FRA,24000000.0,26000000.0,33000000.0,33000000.0,37000000.0,46000000.0,40000000.0,41000000.0,48000000.0,43000000.0,55000000.0,61000000.0,58000000.0,60000000.0,61000000.0,60000000.0,61000000.0,61000000.0,61000000.0,60000000.0,59760000.0,59592134.831461,62219224.719101,59015612.993921,59000000.0
GEO,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,701724.83965587,1055603.9374027,1569961.4051155,1737178.287944,6475285.991798,6869492.84648,4400938.8669583,3782710.3119385,1228685.7158459,1907850.806067,2630049.0019656,1225940.9096482,685993.38702375,806625.08066251,1196601.6513103,1187491.7535295,,,,,,
HUN,48000563.854725,,,,,,,,,1008807.204631,1265908.0088033,24525569.55316,33112727.709687,1604846.3180893,916076.68239087,3181328.0737313,1571730.3354695,805324.96071881,858757.03170464,1295728.2754148,1416597.4233416,2684132.7939382,2198708.2588979,2065876.2644084,2170766.1144024
IRL,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,10000000.0,9000000.0,9000000.0,24000000.0,29000000.0,38000000.0,41000000.0,27000000.0,108000000.0,121000000.0,481000000.0,498000000.0,98000000.0,83000000.0,82000000.0,81000000.0,78000000.0,77000000.0,113000000.0,125000000.0,106000000.0,127000000.0,122000000.0,111000000.0,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,,1833674996.7763,1917737538.2648,2069610944.7958,1951162540.6182,2137600658.9365
LTU,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,3000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
LUX,231656.49890059,111923.92643512,147050.43889549,112171.81995989,134556.60524691,300397.37332021,212742.22296039,295638.0,720280.0,927544.0,455852.0,740773.0,453919.0,358653.0,207590.0,305233.0,228080.0,265497.0,229105.0,184861.0,78326.0,230256.0,191123.0,212066.0,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3861307.0851713,580817.53294526,0.0,,,,,47914.979660091,45362.583126934,47980.961154614,50386.971944534,
MEX,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,414000000.0,357000000.0,222000000.0,362000000.0,334000000.0,441000000.0,410000000.0,289000000.0,604000000.0,377000000.0,492000000.0,583000000.0,693000000.0,544000000.0,343000000.0,,,,,,,,
NOR,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,
POL,14820420.647684,,,,,,,,,8605092.449583,14418535.275692,7701984.5446843,2114667.8649785,2275895.4226053,3002448.15003,7759699.6245307,16510063.8551,7647635.2078006,20966858.068666,5496475.0866292,,,,,9773123.9092496
PRT,,,,,,,,,,,,,,,,,0.0,1000000.0,1000000.0,,,,,,
ROU,14825796.886583,,,,,,6535947.7124183,6080389.1449053,13316643.140597,7649599.012955,6073321.5547703,17307910.566338,28461008.418467,,,,,,,,,,,,
SRB,,,,,1095818.3571491,1289449.7223716,1986635.6661711,4069836.415644,4287123.5705747,6132323.1307094,5999299.8804968,7198808.2764913,11277650.247808,13470303.935244,10537609.686937,13237540.966399,23017792.449536,17642835.7074,16518927.790708,17293598.723669,29820472.305241,28735328.693327,32853590.163205,35256082.287307,43326820.87224
SVK,4000000.0,5000000.0,5000000.0,10000000.0,5000000.0,7000000.0,4000000.0,4000000.0,3000000.0,2000000.0,2000000.0,1000000.0,1000000.0,4000000.0,2000000.0,2000000.0,2000000.0,3000000.0,4000000.0,9000000.0,3656000.0,300000.0,7070000.0,1830000.0,
SVN,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,,,,,,,,,,,,,427716578.26737,438527237.49372,458999095.56828,415319393.54746,430149346.60859,419364553.53109,489163154.72607,577685652.48738,600939815.65155,,,746695248.30297
