LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
AUT,,,384000000.0,378000000.0,364000000.0,347000000.0,338000000.0,339000000.0,335000000.0,341000000.0,302000000.0,362000000.0,325000000.0,356000000.0,348000000.0,344000000.0,451000000.0,480000000.0,497000000.0,504000000.0,503000000.0,535000000.0,552000000.0,560000000.0,569000000.0
AZE,1731451.822353,3662332.9060612,5527915.9756772,2306805.0749712,1138822.4575789,2420428.4158296,2398081.5347722,11969532.100109,12604663.725578,12276968.407268,5942779.5228797,8917424.6477617,11906786.868515,20679956.985689,29469548.133595,22537327.448587,19108280.254777,24752475.247525,29750479.846449,34539000.287825,33483126.266631,21535845.848682,16475312.773516,22403664.243752,25744759.102611
BEL,315000000.0,292000000.0,,,,,,,,,,,,,,295000000.0,312000000.0,311000000.0,329000000.0,333000000.0,313000000.0,311000000.0,317000000.0,,
BGR,0.0,0.0,5798018.131984,507820.43469429,0.0,13830550.14855,10779180.782261,5130309.8707162,3591585.4284248,5631783.7395044,30677983.433889,29144084.262194,30166683.709991,57776868.800491,38347479.292361,35790980.67287,32723182.329482,37324879.844565,41926577.359648,49596073.21812,32723182.329482,34257081.501176,32211882.605583,35790980.67287,33745781.777278
CAN,,,,366227674.54447,355678879.98991,414235705.95099,377875531.83818,369571081.73725,325537294.56384,351886209.02907,445783930.58223,488695407.94832,527605691.33365,532290130.18662,500694882.56371,643654734.57007,706363265.5932,755842272.35367,739427582.33704,851203321.3716,957201778.30841,800417444.43535,831177942.10598,799979904.39812,848085077.74113
CHE,350048527.98447,327126642.00995,305297086.90628,380987608.65545,444263934.0165,467997688.9003,563426906.77966,888767720.82879,579996054.44861,861990803.70442,683330103.98502,701798995.61376,847385402.08194,475080335.20257,534472481.6213,586745767.61684,666936790.92383,728449348.70986,728735071.89861,483286678.74197,549831397.52716,540267840.76316,649514213.74595,545501775.04546,477217578.86223
CZE,206567979.80147,216534005.00855,211982747.33873,225753783.12224,240318001.75161,256573736.51127,292212558.79779,385200761.9641,225012326.21606,213065377.03294,235821025.80803,256014849.21413,252790166.50936,353219279.61857,372144185.55423,359098438.75401,364509622.11052,353021180.47547,377570496.2443,423630328.51778,661095840.20524,576898891.03432,547798474.58142,671252695.65692,782631730.67184
FIN,119000000.0,114000000.0,117000000.0,113000000.0,113000000.0,115000000.0,125000000.0,135000000.0,137000000.0,155000000.0,156000000.0,156000000.0,167000000.0,180000000.0,196000000.0,195000000.0,197000000.0,181000000.0,201000000.0,194000000.0,206000000.0,216000000.0,233000000.0,221000000.0,231000000.0
FRA,,,2561000000.0,2531000000.0,2622000000.0,2617000000.0,2642000000.0,2914000000.0,3411000000.0,3592000000.0,3568000000.0,3225000000.0,3377000000.0,3672000000.0,3730000000.0,3770000000.0,3804000000.0,3983000000.0,3884000000.0,3115000000.0,3245830000.0,3329599391.1122,3502751907.6627,3453825809.5003,3465081605.5571
