LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,,,,2770395.3300745,2783134.6125319,3838571.8401163,5705714.3546588,6824432.2231098,5767021.075444,6829499.0499791,7110073.2748208,5670979.2107427,6046007.8565771,8056199.5265659,8741099.9709387,6892679.7416952,7682921.9620387,6652852.7072795,8745595.1281262,15262571.97203,8374519.986114,13004791.238877,13593700.393055,13444558.638266,13050669.121222
ARM,,,,,,,,,,,8770105.0272698,9588976.2061062,10683530.120397,11111985.253951,9861330.9447138,10974728.455492,10252481.562395,10706482.16997,10085012.437594,10050490.57324,11236616.127949,11586346.98666,,,
AUT,532000000.0,478000000.0,463000000.0,533000000.0,527000000.0,508000000.0,520000000.0,294000000.0,388000000.0,458000000.0,443000000.0,495000000.0,486000000.0,467000000.0,516000000.0,559000000.0,494000000.0,517000000.0,559000000.0,667000000.0,692000000.0,697000000.0,687000000.0,726000000.0,752000000.0
AZE,4328629.5558826,14649331.624245,13266998.341625,,,,15587529.976019,15233949.945593,17106329.341856,34375511.54035,33109771.627473,54396290.351347,31467936.723933,34742327.735958,25004465.083051,23476382.758945,26387625.11374,34653465.346535,31669865.642994,31660750.26384,22909507.44559,18702181.921224,27802090.305308,25390819.476252,32049598.066516
BEL,58000000.0,63000000.0,60000000.0,52000000.0,58000000.0,59000000.0,62000000.0,68000000.0,73000000.0,77000000.0,80000000.0,104000000.0,94000000.0,102000000.0,111000000.0,184000000.0,156000000.0,145000000.0,147000000.0,206000000.0,457000000.0,528000000.0,396797000.0,,
BGR,,,,,,,,,,,,112997238.98149,221392780.4479,212700685.14163,77717558.032519,109929440.6381,79251457.204213,111463339.8098,103793843.95132,100214745.88404,138050925.4525,174864505.57317,164127211.37131,256672461.39687,212700685.14163
CAN,3292112299.4652,3403997227.3567,4119520897.0438,4025497624.6317,4602383805.2595,5883897316.2194,5292420855.2679,5306851901.8074,5250316055.6258,5401360544.2177,5242101079.6847,5411459064.7381,6874531962.6932,6947989482.4601,6550592985.1123,8693743139.4072,5818551904.6234,6229763387.2976,3942560654.7793,4727883574.6585,5352869057.729,4885097150.6789,5362731816.4853,4023657038.2956,4404657737.0936
CHE,1208670333.2255,1179696467.2873,1103205011.251,1152210098.0211,1306548362.9093,765230788.98376,1410222457.6271,1452426390.4035,1492733609.5219,1475940677.4173,1520377187.8835,1533913927.913,1409873987.9467,1611114611.5557,1817338896.6157,1998263637.6791,2235008103.7277,2413507010.7027,2402307254.8542,2420549975.3005,2761333832.8962,2699504678.0407,2708708168.4059,2593298121.0494,
CHL,,,,230086744.04838,185043062.66145,233379649.39768,178374201.9582,113538923.00544,142008533.51108,205170153.97387,174099955.57892,225752123.1355,269763954.96177,362759378.06723,382222031.00324,370627392.60118,627587112.51313,746443969.68038,677475684.8864,619126344.43303,945437490.98056,830897547.75939,768899006.48252,857798002.47727,837821851.88096
CZE,133302205.46698,188357307.22467,178179114.70124,173417935.56149,185871589.98164,202478387.13845,271629660.51431,280122407.52099,264236386.9898,296530087.10042,350374177.86626,544247693.92551,589735645.68308,611282503.30542,578344950.63278,669805763.44494,569721666.42266,570711609.89111,513098756.3108,587126577.03789,684442001.09951,767272565.86102,721269257.64988,871462498.68386,982477463.79013
DNK,554789753.10832,573792766.10777,505151745.98084,556548174.61799,581661197.48238,585875660.73681,647728187.64928,674113451.31552,703702208.40567,736703450.31519,767341680.42192,705312973.41502,728512374.51012,715665236.0515,866336301.25029,1057981523.2571,880856832.24395,944544453.10191,920098150.95402,795852392.38622,807792347.08927,919762537.94289,1117533977.7112,1151451725.4334,
EST,23000000.0,21000000.0,26000000.0,25000000.0,14000000.0,14000000.0,15000000.0,16000000.0,21000000.0,23000000.0,25000000.0,28000000.0,32000000.0,38000000.0,39000000.0,38000000.0,39000000.0,44300000.0,47200000.0,46300000.0,47500000.0,43600000.0,42000000.0,39000000.0,43000000.0
FIN,599000000.0,526000000.0,564000000.0,549000000.0,527000000.0,534000000.0,543000000.0,634000000.0,627000000.0,587000000.0,600000000.0,612000000.0,611000000.0,673000000.0,684000000.0,667000000.0,658000000.0,525000000.0,511000000.0,506000000.0,508900000.0,544000000.0,548500000.0,543000000.0,494000000.0
FRA,178000000.0,180000000.0,186000000.0,185000000.0,210000000.0,228000000.0,221000000.0,233000000.0,239000000.0,239000000.0,2189000000.0,2235000000.0,2294000000.0,2286000000.0,2601000000.0,2431000000.0,2746000000.0,2851000000.0,2904000000.0,2760000000.0,2598230000.0,2430850000.0,2369230000.0,2370650000.0,2324750000.0
GBR,3835946924.0048,3670886075.9494,4078833381.4612,4078674948.2402,4443264563.1068,5118949958.9828,5150345714.7451,5163804071.2468,4833068362.4801,5450928381.9629,5661646439.5379,5856556174.8313,5636560555.3668,5008114438.167,4336387814.3446,3917271032.3934,3444324729.2003,3450578227.099,3145366227.0372,2881340525.7937,3164292011.0193,2505871290.7559,2017834969.1851,2331094032.5497,2311819218.0554
GEO,,,,,,8212877.7923784,9157015.8901158,7715677.2917973,6596034.1344766,6297229.2191436,6202924.2357111,9845162.4451803,11364133.047773,11880826.174374,11092194.011256,9334659.4997249,13382772.876444,15073009.891663,14075582.711021,15635580.572257,15458628.089977,17867380.087904,30354369.617394,30251370.504078,25112562.622868
