LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,,,,7920792.0792079,,1918833.3493236,3524539.6070138,2266931.1419666,2059414.0966895,1991436.8216668,2416854.9361635
BEL,44000000.0,102000000.0,103000000.0,103000000.0,101000000.0,129000000.0,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,135000000.0,,,,,,,,,,
BGR,,,,,,,5132943.2296479,4104247.896573,3078501.7957927,1023960.6799099,4601697.5150833,0.0,27098885.366602,0.0,4601697.5150833,1022599.4477963,511299.72389815,511299.72389815,1022599.4477963,2045198.8955926,1533899.1716944,1533899.1716944,511299.72389815,511299.72389815,511299.72389815
BLR,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,39549910.87344,54297597.042514,63710499.490316,57730470.864153,64324903.827962,78033838.973162,77882743.203288,76881575.397896,75221238.938053,72974644.403216,92071272.438233,110237326.21823,114371298.25039,128262681.97268,138152914.45874,150750091.47457,263884850.24716,1167496886.675,1173633440.5145,1038423889.9584,1376194845.055,1280615918.9199,1378081696.0839,1523246207.548,1775593996.0961
CHE,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,66000000.0,75000000.0,82000000.0,90000000.0,92000000.0,94000000.0,80000000.0,91000000.0,88000000.0,88000000.0,93000000.0,88000000.0,89000000.0,82000000.0,107000000.0,106000000.0,122000000.0,101000000.0,112000000.0,101000000.0,76000000.0,91000000.0,94000000.0,122700000.0,99000000.0
FRA,,51000000.0,51000000.0,53000000.0,56000000.0,56000000.0,53000000.0,51000000.0,51000000.0,50000000.0,50000000.0,50000000.0,44000000.0,48000000.0,48000000.0,53000000.0,53000000.0,53000000.0,53000000.0,53000000.0,53477000.0,50662421.052632,49522516.578947,46599924.015647,47000000.0
