LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,,,,,,,,,,,,,,,,,,,,,,,3391.0,4823.0,5050.0,5152.0,5401.0,3816.0,5040.0,5304.0,5424.0,5508.0,6188.0,6600.0,6570.0,6998.0,7430.0,7091.0,6478.0,7402.0,7924.0,7998.0,7653.0,8662.0,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41621.309273488,45107.092463509,45175.083559144,46565.802807865,47135.945003695,52787.944291063,50507.945949355,50056.961442985,47955.530681996,49094.902650499,51422.024313292,54904.033465453,57145.133388444,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710.0,1695.0,1467.0,1484.0,1725.0,1861.0,2000.0,2096.0,2250.0,2464.0,2545.0,2545.0,,,,,,,,,,,,
AUS,116678.89709145,122285.27309624,127770.63071075,131769.35334467,138282.81059237,142697.75446426,146484.04106585,152335.22808747,156777.90302634,160619.73908297,161911.25823547,164970.97461981,172598.33471745,174197.23958925,182394.93646728,189789.32275432,196285.37321459,201324.02951288,211473.42193362,221489.10017846,227814.42661709,227582.39615358,231037.51228924,237058.738676,242416.73140962,249308.00129655,253323.38876204,255081.22927191,257432.33954871,263083.87185621,268358.24618151,266576.52676323,272524.84344097,279165.1550167,291222.67155516,291967.51072343,288071.40244868,292169.34401471,295031.89558706,294950.82476288,296762.8783629,300064.59182855,303164.16460613,305941.68019968,310236.14533888,316069.61217593,323695.71662625,329513.71856156,331487.27479791,,
AUT,41140.0,44245.0,47619.0,49293.0,51443.0,52906.0,54909.0,57152.0,59280.0,61161.0,63365.0,64745.0,66396.0,67924.0,69638.0,70531.0,71823.0,73399.0,74071.0,75555.0,76185.0,77022.0,77701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,4759.0,5069.0,5324.0,5756.0,6061.0,6247.0,6463.0,6721.0,7015.0,7314.0,7858.0,8158.0,8486.0,8649.0,8905.0,9917.0,10476.0,10727.0,10240.0,10014.0,9307.0,9681.0,8620.0,7779.0,6474.0,5455.0,5563.0,7084.0,9050.0,9324.0,9646.0,9979.0,10187.0,10515.0,11068.0,11770.0,12750.0,14001.0,15090.0,16315.0,17550.0,18924.0,20625.0,22489.0,23604.0,24320.0,24877.0,25353.0,25742.0,26494.0,17146.0
BEL,66836.0,68184.0,70832.0,72671.0,75021.0,75687.0,77260.0,79761.0,80273.0,82715.0,81414.0,82762.0,82164.0,81803.0,82306.0,82898.0,83477.0,86710.0,89521.0,92555.0,98697.0,100093.0,101546.0,105168.0,108135.0,110985.0,110884.0,114323.0,120057.0,123814.0,127155.0,129506.0,132220.0,132995.0,135476.0,136110.0,137597.0,140742.0,141026.0,141487.0,137176.0,138643.0,,132125.0,134954.0,132573.0,129667.0,,,,
BGR,18458.0,22330.0,24492.0,26613.0,29242.0,30881.0,31656.0,31482.0,30925.0,31739.0,32400.0,33790.0,34511.0,35583.0,36667.0,37238.0,38137.0,40509.0,40392.0,39254.0,38223.0,27064.0,25200.0,22859.0,20646.0,16201.0,14300.0,14286.0,17375.0,18442.0,18580.0,18697.0,19616.0,16522.0,14461.0,14678.0,14461.0,14633.0,14640.0,12217.0,12024.0,11834.0,11109.0,10742.0,11847.0,11783.0,11215.0,10617.0,10067.0,10699.0,6103.0
BLR,15449.0,16374.0,17180.0,18048.0,19400.0,20550.0,21590.0,22594.0,23687.0,24489.0,25018.0,25535.0,26100.0,28177.0,29178.0,30079.0,31232.0,32816.0,34526.0,35593.0,36639.0,34744.0,32630.0,33829.0,28207.0,24085.0,21276.0,23361.0,24921.0,29487.0,30256.0,28022.0,26729.0,25659.0,25744.0,21990.0,21582.0,21171.0,18779.0,16943.0,20091.0,20228.0,21371.0,21926.0,19885.0,18551.0,18447.0,18631.0,18864.0,19259.0,13936.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,498382.0,499411.0,500440.0,501469.0,502498.0,503548.0,482553.0,494596.0,486433.0,489781.0,514214.0,511553.0,504924.0,,,,,,,,,,,,,
CHE,55331.0,57783.0,60259.0,62166.0,62891.0,65031.0,66506.0,70300.0,72616.0,74554.0,77205.0,77229.0,79593.0,80601.0,82799.0,82627.0,,,,,,,,,,,,,90157.0,91474.0,93119.0,94410.0,96150.0,97283.0,98501.0,100081.0,101361.0,103191.0,105402.68420978,108810.25900815,111596.38732119,112871.14941234,114249.57077969,115809.44048167,117730.36984897,119547.08360765,122087.7072384,123968.541618,124944.24281709,127023.7103624,
CZE,,,,,,,,,,,,,,,,,,,,,,,,73845.0,71714.0,73496.0,73986.0,73255.0,75479.0,78006.0,80591.0,81377.0,81555.0,83327.0,82676.0,83915.0,86053.0,87959.0,88552.0,88287.0,80977.0,81471.0,80540.0,81277.0,84067.0,87999.012592,91355.473268,95002.366454,99207.419,102656.618,81045.141
DEU,437683.0,462024.0,470528.0,484956.0,480746.0,502686.0,513475.0,530348.0,548889.0,568631.0,572599.0,554695.0,566530.0,574355.0,584875.0,581007.0,605197.0,623500.0,653600.0,668900.0,693400.0,825500.0,845300.0,863061.0,940769.0,954777.0,956130.0,957503.0,968266.0,990196.0,975704.0,997054.0,1001866.0,996493.0,1024372.0,1016213.0,1024047.0,1026914.0,1033421.0,1041947.0,1046778.0,1057771.0,1061115.0,1069861.0,1086166.0,1100374.0,1121952.0,1072960.0,1076872.0,1083247.0,
