LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,253.0,291.0,351.0,366.0,373.0,414.0,394.0,400.0,402.0,392.0,369.0,369.0,449.0,533.0,581.0,564.0,619.0,662.0,703.0,704.0,779.0,318.0,191.0,223.0,215.0,197.0,168.0,95.0,116.0,121.0,125.0,138.0,123.0,105.0,89.0,73.0,80.0,51.0,41.0,32.0,19.0,18.0,16.0,12.0,7.714,6.99,3.2,2.4,2.7,2.0,0.593
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640.7627436806,9052.390462155,8715.4385913024,9237.510554638,9108.0603687135,8817.8723669107,7287.9333902597,6002.5177929744,5035.0018230423,5733.5770156506,6883.5652307941,8065.3684635781,8360.7820221858,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,52.0,46.0,47.0,47.0,48.0,41.0,30.0,27.0,28.0,24.0,24.0,35.0,50.0,49.0,53.0,55.0,52.0,44.0,50.0,55.0,,,
AUS,12473.066624137,12674.783011064,11616.093760658,11474.354465217,10520.293577346,9996.1291856292,8927.7716456509,8874.9477932679,8662.9471002671,8503.0213416576,8815.4133857769,9113.1882187926,9087.7718099571,8931.8202093894,8846.2455406655,8834.0411994476,9231.3767030921,9511.7125834539,9984.7247488997,10215.876913181,10031.622567036,10057.13556419,9963.3775012095,9743.4133634613,9963.2268661599,10344.505996047,10696.252435836,10976.875472385,10950.918994143,11164.803792244,11552.161964256,12149.624986664,12005.65718487,12021.773106727,12087.046535813,12062.893352373,12590.874021192,13212.731578192,14276.384048686,15004.14159834,14992.79186061,15275.793628,15568.963881337,15543.667841316,15571.083308422,16016.860652115,16503.758569102,17039.193726877,17585.947168902,,
AUT,6281.0,6506.0,6569.0,6513.0,6575.0,6470.0,6500.0,6773.0,7109.0,7241.0,7380.0,7043.0,7217.0,7150.0,7004.0,7290.0,7332.0,7363.0,7783.0,8444.0,8463.0,8990.0,9501.0,9342.0,9629.0,9625.0,9689.0,8140.0,7971.0,7995.0,8206.0,8240.0,8300.0,8249.0,8295.0,8470.0,9296.0,9580.0,10837.0,10653.0,10737.0,10875.0,11323.0,11915.0,12092.0,12208.0,12578.0,12656.7,13204.7,13350.0,7417.005
AZE,1676.0,1811.0,1855.0,2056.0,2099.0,2066.0,2105.0,2138.0,2154.0,2226.0,2207.0,2228.0,2268.0,2173.0,2103.0,2054.0,2196.0,2215.0,2148.0,2022.0,1827.0,1973.0,1629.0,1330.0,1080.0,791.0,558.0,489.0,533.0,422.0,493.0,537.0,584.0,654.0,789.0,878.0,964.0,1108.0,1049.0,1024.0,917.0,660.0,591.0,609.0,612.0,495.0,448.0,467.0,466.0,544.0,172.0
BEL,8260.0,8425.0,8168.0,8093.0,8279.0,8528.0,8191.0,7667.0,7136.0,6955.0,6963.0,7078.0,6879.0,6631.0,6444.0,6572.0,6069.0,6270.0,6348.0,6400.0,6539.0,6771.0,6798.0,6694.0,6638.0,6757.0,6788.0,6980.0,7097.0,7354.0,7755.0,8036.0,8260.0,8265.0,8676.0,9150.0,9607.0,9932.0,10406.0,10427.0,10403.0,11003.0,10857.0,10595.0,10974.0,10333.0,10025.0,10167.0,,,
BGR,6223.0,6223.0,6700.0,7071.0,7453.0,7569.0,7499.0,7343.0,6710.0,6847.0,7055.0,6962.0,7092.0,7255.0,7538.0,7785.0,8004.0,8075.0,8143.0,7601.0,7793.0,4866.0,5393.0,5837.0,5059.0,4693.0,5065.0,5886.0,4740.0,3819.0,3472.0,2990.0,2598.0,2517.0,2404.0,2389.0,2422.0,2424.0,2335.0,2144.0,2100.0,2068.0,1876.0,1826.0,1702.0,1552.0,1458.0,1438.0,1479.0,1523.8,1119.0
BIH,1742.0,1698.0,1740.0,1751.0,1750.0,1715.0,1587.0,1547.0,1382.0,1374.0,1409.0,1487.0,1601.0,1697.0,1654.0,1644.0,1646.0,1568.0,1459.0,1433.0,1382.0,637.0,71.0,74.0,82.0,65.0,30.0,6.0,4.0,41.0,38.0,41.0,38.0,36.0,34.0,34.0,36.0,61.0,78.0,61.0,59.0,100.0,54.0,40.0,35.0,34.0,24.0,30.0,40.0,55.5,15.0
BLR,7015.0,7430.0,7765.0,8148.0,8680.0,9010.0,9306.0,9716.0,10252.0,10631.0,10636.0,10830.0,11508.0,12878.0,13154.0,13729.0,14199.0,14965.0,15989.0,16525.0,16852.0,15795.0,18017.0,19500.0,16063.0,12505.0,11657.0,12909.0,13268.0,16874.0,17722.0,15264.0,14349.0,13308.0,13893.0,10351.0,9968.0,9366.0,8188.0,7401.0,7578.0,7941.0,8977.0,8998.0,7796.0,7117.0,6428.0,6295.0,6215.0,6274.0,3741.0
