LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,,,,,,,,,,,,,,,,,,,,,,,3200.0,4600.0,4835.0,4955.0,5233.0,3721.0,4924.0,5183.0,5299.0,5370.0,6065.0,6495.0,6481.0,6925.0,7350.0,7040.0,6437.0,7370.0,7905.0,7980.0,7637.0,8650.0,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,25901.605117609,22854.82871487,22203.494902637,22777.991988776,24990.064917353,26139.841151435,25464.117582981,25286.633953817,24807.918815452,28189.802854194,30231.20386274,32980.546529808,36054.702001354,36459.644967842,37328.292253227,38027.884634981,43970.071924153,43220.012559096,44054.443650011,42920.528858953,43361.325634848,44538.459082498,46838.665001874,48784.351366258,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.0,1643.0,1421.0,1437.0,1678.0,1813.0,1959.0,2066.0,2223.0,2436.0,2521.0,2521.0,,,,,,,,,,,,
AUS,104205.83046731,109610.49008518,116154.53695009,120294.99887945,127762.51701502,132701.62527863,137556.26942019,143460.2802942,148114.95592607,152116.71774131,153095.84484969,155857.78640102,163510.5629075,165265.41937986,173548.69092661,180955.28155487,187053.9965115,191812.31692943,201488.69718472,211273.22326528,217782.80405005,217525.26058939,221074.13478803,227315.32531254,232453.50454346,238963.4953005,242627.13632621,244104.35379953,246481.42055457,251919.06806397,256806.08421725,254426.90177657,260519.1862561,267143.38190997,279135.62501935,279904.61737105,275480.52842749,278956.61243652,280755.51153837,279946.68316454,281770.08650229,284788.79820055,287595.20072479,290398.01235836,294665.06203046,300052.75152381,307191.95805714,312474.52483468,313901.327629,,
AUT,34859.0,37739.0,41050.0,42780.0,44868.0,46436.0,48409.0,50379.0,52171.0,53920.0,55985.0,57702.0,59179.0,60774.0,62634.0,63241.0,64491.0,66036.0,66288.0,67111.0,67722.0,68032.0,68200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,3083.0,3258.0,3469.0,3700.0,3962.0,4181.0,4358.0,4583.0,4861.0,5088.0,5651.0,5930.0,6218.0,6476.0,6802.0,7863.0,8280.0,8512.0,8092.0,7992.0,7480.0,7708.0,6991.0,6449.0,5394.0,4664.0,5005.0,6595.0,8517.0,8902.0,9153.0,9442.0,9603.0,9861.0,10279.0,10892.0,11786.0,12893.0,14041.0,15291.0,16633.0,18264.0,20034.0,21880.0,22992.0,23825.0,24429.0,24886.0,25276.0,25950.0,16974.0
BEL,58576.0,59759.0,62664.0,64578.0,66742.0,67159.0,69069.0,72094.0,73137.0,75760.0,74451.0,75684.0,75285.0,75172.0,75862.0,76326.0,77408.0,80440.0,83173.0,86155.0,92158.0,93322.0,94748.0,98474.0,101497.0,104228.0,104096.0,107343.0,112960.0,116460.0,119400.0,121470.0,123960.0,124730.0,126800.0,126960.0,127990.0,130810.0,130620.0,131060.0,126773.0,127640.0,128046.0,121530.0,123980.0,122240.0,119500.0,,,,
BGR,12235.0,16107.0,17792.0,19542.0,21789.0,23312.0,24157.0,24139.0,24215.0,24892.0,25345.0,26828.0,27419.0,28328.0,29129.0,29453.0,30133.0,32434.0,32249.0,31653.0,30430.0,22198.0,19807.0,17022.0,15587.0,11508.0,9235.0,8400.0,12635.0,14623.0,15108.0,15707.0,17018.0,14005.0,12057.0,12289.0,12039.0,12209.0,12305.0,10073.0,9924.0,9766.0,9233.0,8916.0,10145.0,10231.0,9757.0,9179.0,8588.0,9175.0,4984.0
BLR,8434.0,8944.0,9415.0,9900.0,10720.0,11540.0,12284.0,12878.0,13435.0,13858.0,14382.0,14705.0,14592.0,15299.0,16024.0,16350.0,17033.0,17851.0,18537.0,19068.0,19787.0,18949.0,14613.0,14329.0,12144.0,11580.0,9619.0,10452.0,11653.0,12613.0,12534.0,12758.0,12380.0,12351.0,11851.0,11639.0,11614.0,11805.0,10591.0,9542.0,12513.0,12287.0,12394.0,12928.0,12089.0,11434.0,12019.0,12336.0,12649.0,12985.0,10195.0
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,497000.0,498000.0,499000.0,500000.0,501000.0,502000.0,481000.0,493000.0,485000.0,488368.0,512736.0,510103.0,503471.0,,,,,,,,,,,,,
CHE,45992.0,48348.0,50757.0,52527.0,53353.0,55808.0,57149.0,61060.0,63308.0,65034.0,67241.0,67344.0,69867.0,70865.0,73019.0,72464.0,,,,,,,,,,,,,78009.0,78973.0,80499.0,81109.0,82003.0,82774.0,83587.0,83937.0,84783.0,85757.0,87626.684209783,90239.259008148,92419.387321189,93400.149412342,94987.570779686,96362.440481672,97720.369848966,99158.08360765,101275.7072384,103104.041618,104331.24281709,105286.7103624,
CZE,,,,,,,,,,,,,,,,,,,,,,,,65297.0,63233.0,65473.0,65875.0,65534.0,68461.0,71049.0,73291.0,74078.0,74958.0,76809.0,76086.0,77248.0,79131.0,81059.0,81749.0,81784.0,74386.0,74757.0,73275.0,73676.0,76270.0,79700.9,82512.1,85504.8,88921.4,91726.0,74380.0
DEU,399200.0,422500.0,430000.0,444200.0,439100.0,464100.0,476300.0,493000.0,511300.0,529200.0,532100.0,512900.0,526500.0,535600.0,545800.0,538300.0,563800.0,584300.0,612600.0,627800.0,649800.0,770200.0,789000.0,799700.0,875600.0,883800.0,884400.0,885100.0,895600.0,916400.0,900300.0,921300.0,930500.0,925200.0,951493.0,939389.0,945052.0,947807.0,950882.0,959694.0,962892.0,972357.0,972319.0,980246.0,995190.0,1008771.0,1027755.0,977430.0,978702.0,981219.0,
DNK,,,,,,,,,,,46934.0,45887.0,46415.0,47729.0,49972.0,51773.0,53859.0,55960.0,57751.0,58607.0,59003.0,59621.0,59949.0,59728.0,60111.0,61292.0,62544.0,63378.0,63942.0,65010.0,64194.0,63386.0,63473.0,64016.0,65452.0,65517.0,66191.0,67815.0,67791.0,67236.0,66612.0,66612.0,67039.0,67551.0,67026.550518915,67544.075461366,66544.317598197,,,,
ESP,85257.0,97324.0,106058.0,115568.0,119807.0,126215.0,134961.0,141424.0,150537.0,157736.0,158995.0,160105.0,165669.0,150799.0,140899.0,151558.0,162731.0,173337.0,184309.0,195366.0,207765.0,218295.0,229291.0,235523.0,243304.0,251189.0,256866.0,271801.0,320972.0,341329.0,330263.0,336520.0,362576.0,371137.0,383650.0,390973.0,390306.0,402456.0,403475.0,407444.0,392531.0,389763.0,375576.0,370375.0,348173.0,363942.0,377643.0,363368.0,372744.0,375255.0,
FIN,31200.0,32400.0,34100.0,35800.0,37500.0,39200.0,40100.0,40400.0,41100.0,41800.0,43300.0,44400.0,46000.0,47900.0,49800.0,52300.0,53700.0,54600.0,57100.0,58400.0,59700.0,58700.0,58500.0,57700.0,57600.0,58000.0,58400.0,59900.0,61100.0,62500.0,63400.0,64700.0,66000.0,67260.0,68545.0,69450.0,69995.0,71325.0,70940.0,71870.0,72285.0,73030.0,72810.0,72655.0,73060.0,73835.0,65262.0,74800.0,74800.0,74700.0,70900.0
